"targets","layer","layer_old","name","description","fld_value","units","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"ICO","ico_trend","rn_ico_trend","Species lists and IUCN threat categories as a proxy for species richness status/trend","Calculated using methods/data of SPP analysis, but with a subset of taxa determined to be iconic species","score","trend score","ico_trend.csv","sp_id",,,,"score",,TRUE,,,0.0198071298629334,0.26922254565317,TRUE,,,,19,FALSE
"LSP","lsp_prot_area_status","rny_lsp_prot_area_status","Coastal marine protected areas throughout CCAMLR regions and coastal protected areas inland 1km","Proportion of protected areas relative to entire ocean ccamlr regions (mpa) and score of 1 for all 1 km inland areas, weighted by relative areas of ccamlr ocean and inland regions","status","status","lsp_prot_area_status.csv","sp_id",,,,"status",,TRUE,,,0,44.96,FALSE,,,,19,FALSE
"LSP","lsp_prot_area_trend","rny_lsp_prot_area_trend","Coastal marine protected areas throughout CCAMLR regions and coastal protected areas inland 1km","Proportion of protected areas relative to entire ocean ccamlr regions (mpa) and score of 1 for all 1 km inland areas, weighted by relative areas of ccamlr ocean and inland regions","trend","trend","lsp_prot_area_trend.csv","sp_id",,,,"trend",,TRUE,,,0,0.4494,TRUE,,,,19,FALSE
"NP","np_status","np_status","Status of krill fisheries (calculated using fisheries method)","Calculated using c_cmsy scores and catch data for Euphausia superba","status","value","np_status.csv","sp_id",,,,"status",,TRUE,,,25,46.12,FALSE,,,,19,FALSE
"NP","np_trend","np_trend","Trend of krill fisheries (calculated using fisheries method)","Calculated using c_cmsy scores and catch data for Euphausia superba","trend","value","np_trend.csv","sp_id",,,,"trend",,TRUE,,,0,0.0802,TRUE,,,,19,FALSE
"SPP","spp_status","rn_spp_status","Species lists and IUCN threat categories as a proxy for species richness status/trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","score","status score","spp_status.csv","sp_id",,,,"score",,TRUE,,,78.3041200431279,87.0087925996195,FALSE,,,,19,FALSE
"SPP","spp_trend","rn_spp_trend","Species lists and IUCN threat categories as a proxy for species richness status/trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","score","trend score","spp_trend.csv","sp_id",,,,"score",,TRUE,,,-0.200346854257948,0.0761870112195099,FALSE,,,,19,FALSE
"TR","tr_status","rn_tr_status","Modeled tourism status","Modeled tourism status with updated approach","status","status score","tr_status.csv","sp_id",,,,"status",,TRUE,,,50,89.75,FALSE,,,,19,FALSE
"TR","tr_trend","rn_tr_trend","Modeled tourism trend","Modeled tourism trend with updated approach","trend","trend score","tr_trend.csv","sp_id",,,,"trend",,TRUE,,,-0.1455,0.0281,FALSE,,,,19,FALSE
"pressures","cc_acid","cc_acid","Ocean acidification","Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) from Halpern et al. 2008","pressure_score","pressure score","cc_acid.csv","sp_id",,,,"pressure_score",,TRUE,,,0.491827467437198,0.646780375263154,TRUE,,,,19,FALSE
"pressures","cc_slr","cc_slr","Sea level rise","Modeled sea level rise after Halpern et al. 2008","pressure_score","pressure score","cc_slr.csv","sp_id",,,,"pressure_score",,TRUE,,,0.101202163508737,0.448299854140672,TRUE,,,,19,FALSE
"pressures","cc_sst","cc_sst","Sea surface temperature (SST) anomalies","Modeled sea level rise after Halpern et al. 2008","pressure_score","pressure score","cc_sst.csv","sp_id",,,,"pressure_score",,TRUE,,,0.00133401421506355,0.0973178811213024,TRUE,,,,19,FALSE
"pressures","fp_com_hb","fp_com_hb","High bycatch caused by commercial fishing ","Statistics of destructive commercial fishing practices by 5 different gear types (developed in Halpern et al. 2008)","pressure_score","pressure score","fp_com_hb.csv","sp_id",,,,"pressure_score",,TRUE,,,0,0.017615141019397,TRUE,,,,19,FALSE
"pressures","fp_com_lb","fp_com_lb","Low bycatch caused by commercial fishing ","Statistics of least destructive commercial fishing practices by 2 different gear types (developed in Halpern et al. 2008)","pressure_score","pressure score","fp_com_lb.csv","sp_id",,,,"pressure_score",,TRUE,,,0,0.205032440449138,TRUE,,,,19,FALSE
"pressures","sp_alien","sp_alien","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","pressure_score","pressure score","sp_alien.csv","sp_id",,,,"pressure_score",,TRUE,,,0,0.00232650117488309,TRUE,,,,19,FALSE
"pressures CW","po_chemicals","po_chemicals","Ocean-based chemical pollution (shipping)","Ocean-based chemical pollution from commercial shipping traffic","pressure_score","pressure score","po_chemicals.csv","sp_id",,,,"pressure_score",,TRUE,,,0,0.00268632514674643,TRUE,,,,19,FALSE
"pressures CW","po_trash","po_trash","Trash pollution","Density of trash from coastal land and sea","pressure_score","pressure score","po_trash.csv","sp_id",,,,"pressure_score",,TRUE,,,0,0,TRUE,,,,19,FALSE
"pressures LE","le_sector_weight","rnk_le_sector_weight","Jobs weighting","Jobs weighting by sector (defaulting to 1)","weight","value","le_sector_weight.csv","sp_id",,"sector",,"weight",,TRUE,,,1,1,TRUE,,,,19,FALSE
"regions","rgn_area","rn_rgn_area","regions by type (eez, subocean, unclaimed) and label","regions by type (eez, subocean, unclaimed) and label","area_km2","km^2","rgn_area.csv","sp_id",,,,"area_km2",,TRUE,,,138114.7648,5981736.195,FALSE,,,,19,FALSE
"regions","rgn_global","rnk_rgn_global","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","label","label","rgn_global.csv","sp_id",,,,,"label",TRUE,,,,,FALSE,,,,19,
"regions","rgn_labels","rnk_rgn_labels","CCAMLR regions to sp_id","Translate between different label types","sp_id","sp_id","rgn_labels.csv","sp_id",,"ccamlr_id",,"sp_id",,TRUE,,,248100,288300,FALSE,,,,19,FALSE
"resilience","MPAs","MPAs","","","resilience score","resilience score","MPAs.csv","sp_id",,,,"resilience.score",,TRUE,,,0,0.4495,TRUE,,,,19,FALSE
"resilience","Marpol_aliens","Marpol_aliens","","","resilience score","resilience score","Marpol_aliens.csv","sp_id",,,,"resilience.score",,TRUE,,,0.5,0.5,TRUE,,,,19,FALSE
"resilience","Marpol_poll","Marpol_poll","","","resilience score","resilience score","Marpol_poll.csv","sp_id",,,,"resilience.score",,TRUE,,,1,1,TRUE,,,,19,FALSE
"resilience","UNEP_gap_report","UNEP_gap_report","","","resilience score","resilience score","UNEP_gap_report.csv","sp_id",,,,"resilience.score",,TRUE,,,0.267,0.267,TRUE,,,,19,FALSE
"resilience","UNFCCC_Kyoto","UNFCCC_Kyoto","","","resilience score","resilience score","UNFCCC_Kyoto.csv","sp_id",,,,"resilience.score",,TRUE,,,0.9846,0.9846,TRUE,,,,19,FALSE
"resilience","rfmo","rfmo","","","resilience score","resilience score","rfmo.csv","sp_id",,,,"resilience.score",,TRUE,,,0.8571,0.8571,TRUE,,,,19,FALSE
