layer,goal,dimension
fp_mpa_coast,HAB,resilience
fp_mpa_coast,NP,resilience
fp_mpa_eez,FIS,resilience
fp_mpa_eez,HAB,resilience
fp_mpa_eez,ICO,resilience
fp_mpa_eez,NP,resilience
fp_mpa_eez,SPP,resilience
fp_targetharvest,ICO,pressure
fp_targetharvest,SPP,pressure
fp_wildcaught_weight,FP,status
fp_wildcaught_weight,FP,trend
g_cites,ICO,resilience
g_cites,NP,resilience
g_cites,SPP,resilience
g_tourism,HAB,resilience
g_tourism,SPP,resilience
hab_coral_extent,CP,status
hab_coral_extent,CP,trend
hab_coral_health,CP,status
hab_coral_health,HAB,status
hab_coral_trend,CP,trend
hab_coral_trend,HAB,trend
hab_mangrove_extent,CS,status
hab_mangrove_extent,CS,trend
hab_mangrove_extent,CP,status
hab_mangrove_extent,CP,trend
hab_mangrove_health,CS,status
hab_mangrove_health,HAB,status
hab_mangrove_health,CP,status
hab_mangrove_trend,CS,trend
hab_mangrove_trend,HAB,trend
hab_mangrove_trend,CP,trend
hab_rockyreef_extent,NP,status
hab_rockyreef_extent,NP,trend
hab_saltmarsh_extent,CS,status
hab_saltmarsh_extent,CS,trend
hab_saltmarsh_extent,CP,status
hab_saltmarsh_extent,CP,trend
hab_saltmarsh_health,CS,status
hab_saltmarsh_health,HAB,status
hab_saltmarsh_health,CP,status
hab_saltmarsh_trend,CS,trend
hab_saltmarsh_trend,HAB,trend
hab_saltmarsh_trend,CP,trend
hab_seagrass_extent,CS,status
hab_seagrass_extent,CS,trend
hab_seagrass_extent,CP,status
hab_seagrass_extent,CP,trend
hab_seagrass_health,CS,status
hab_seagrass_health,HAB,status
hab_seagrass_health,CP,status
hab_seagrass_trend,CS,trend
hab_seagrass_trend,HAB,trend
hab_seagrass_trend,CP,trend
hab_kelp_extent,CP,status
hab_kelp_extent,CP,trend
hab_kelp_health,HAB,status
hab_kelp_health,CP,status
hab_kelp_trend,HAB,trend
hab_kelp_trend,CP,trend
hab_seaice_extent,CP,status
hab_seaice_extent,CP,trend
hab_seaice_health,CP,status
hab_seaice_health,HAB,status
hab_seaice_trend,CP,trend
hab_seaice_trend,HAB,trend
hab_softbottom_health,HAB,status
hab_softbottom_trend,HAB,trend
hd_habitat,AO,resilience
hd_habitat,CP,resilience
hd_habitat,CS,resilience
hd_habitat,FIS,resilience
hd_habitat,HAB,resilience
hd_habitat,ICO,resilience
hd_habitat,LSP,resilience
hd_habitat,NP,resilience
hd_habitat,SPP,resilience
hd_intertidal,AO,pressure
hd_intertidal,CP,pressure
hd_intertidal,CS,pressure
hd_intertidal,ECO,pressure
hd_intertidal,FIS,pressure
hd_intertidal,HAB,pressure
hd_intertidal,ICO,pressure
hd_intertidal,LIV,pressure
hd_intertidal,LSP,pressure
hd_intertidal,NP,pressure
hd_intertidal,SPP,pressure
hd_mpa_coast,AO,resilience
hd_mpa_coast,CP,resilience
hd_mpa_coast,CS,resilience
hd_mpa_coast,HAB,resilience
hd_mpa_coast,NP,resilience
hd_mpa_eez,FIS,resilience
hd_mpa_eez,HAB,resilience
hd_mpa_eez,ICO,resilience
hd_mpa_eez,NP,resilience
hd_mpa_eez,SPP,resilience
hd_subtidal_hb,AO,pressure
hd_subtidal_hb,CP,pressure
hd_subtidal_hb,ECO,pressure
hd_subtidal_hb,FIS,pressure
hd_subtidal_hb,HAB,pressure
hd_subtidal_hb,ICO,pressure
hd_subtidal_hb,LIV,pressure
hd_subtidal_hb,LSP,pressure
hd_subtidal_hb,NP,pressure
hd_subtidal_hb,SPP,pressure
hd_subtidal_sb,AO,pressure
hd_subtidal_sb,ECO,pressure
hd_subtidal_sb,FIS,pressure
hd_subtidal_sb,HAB,pressure
hd_subtidal_sb,LIV,pressure
hd_subtidal_sb,NP,pressure
hd_subtidal_sb,SPP,pressure
hd_coral,HAB,pressure
hd_coral,CP,pressure
ico_spp_iucn_status,ICO,status
ico_spp_iucn_status,ICO,trend
le_sector_weight,ECO,status
le_sector_weight,ECO,trend
le_sector_weight,LIV,status
le_sector_weight,LIV,trend
li_gci,ECO,resilience
li_gci,LIV,resilience
li_sector_evenness,LIV,resilience
lsp_prot_area_inland1km,LSP,status
lsp_prot_area_inland1km,LSP,trend
lsp_prot_area_offshore3nm,LSP,status
lsp_prot_area_offshore3nm,LSP,trend
mar_harvest_tonnes,MAR,status
mar_harvest_tonnes,MAR,trend
mar_sustainability_score,MAR,status
mar_sustainability_score,MAR,trend
mar_capacity,MAR,status
mar_capacity,MAR,trend
np_risk_orn,NP,status
np_risk_orn,NP,trend
np_exposure_orn,NP,status
np_exposure_orn,NP,trend
np_harvest_product_weight,NP,status
np_harvest_product_weight,NP,trend
np_seaweed_tonnes,NP,status
np_seaweed_tonnes,NP,trend
np_orn_tonnes_relative,NP,status
np_orn_tonnes_relative,NP,trend
np_fofm_scores,NP,status
np_fofm_scores,NP,trend
np_seaweed_sust,NP,status
np_seaweed_sust,NP,status
po_chemicals,ECO,pressure
po_chemicals,FIS,pressure
po_chemicals,LIV,pressure
po_chemicals,MAR,pressure
po_chemicals,NP,pressure
po_chemicals,SPP,pressure
po_chemicals_3nm,CW,status
po_chemicals_3nm,AO,pressure
po_chemicals_3nm,CP,pressure
po_chemicals_3nm,CS,pressure
po_chemicals_3nm,CW,pressure
po_chemicals_3nm,HAB,pressure
po_chemicals_3nm,ICO,pressure
po_chemicals_3nm,LSP,pressure
po_chemicals_3nm,TR,pressure
po_nutrients,ECO,pressure
po_nutrients,FIS,pressure
po_nutrients,LIV,pressure
po_nutrients,NP,pressure
po_nutrients,SPP,pressure
po_nutrients_3nm,CW,status
po_nutrients_3nm,AO,pressure
po_nutrients_3nm,CP,pressure
po_nutrients_3nm,CS,pressure
po_nutrients_3nm,CW,pressure
po_nutrients_3nm,ECO,pressure
po_nutrients_3nm,HAB,pressure
po_nutrients_3nm,ICO,pressure
po_nutrients_3nm,LIV,pressure
po_nutrients_3nm,LSP,pressure
po_nutrients_3nm,MAR,pressure
po_nutrients_3nm,TR,pressure
po_pathogens,CW,status
po_pathogens,CW,pressure
po_pathogens,ECO,pressure
po_pathogens,LIV,pressure
po_pathogens,TR,pressure
po_trash,CW,status
po_trash,CW,pressure
po_trash,ECO,pressure
po_trash,ICO,pressure
po_trash,LIV,pressure
po_trash,LSP,pressure
po_trash,SPP,pressure
po_trash,TR,pressure
po_water,CP,resilience
po_water,CS,resilience
po_water,CW,resilience
po_water,HAB,resilience
po_water,ICO,resilience
po_water,LSP,resilience
po_water,MAR,resilience
po_water,NP,resilience
po_water,SPP,resilience
po_water,TR,resilience
res_spi,AO,resilience
res_spi,CP,resilience
res_spi,CS,resilience
res_spi,CW,resilience
res_spi,ECO,resilience
res_spi,FIS,resilience
res_spi,HAB,resilience
res_spi,ICO,resilience
res_spi,LIV,resilience
res_spi,LSP,resilience
res_spi,MAR,resilience
res_spi,NP,resilience
res_spi,SPP,resilience
res_spi,TR,resilience
rgn_area,,spatial
rgn_area_inland1km,LSP,status
rgn_area_inland1km,LSP,trend
rgn_area_offshore3nm,LSP,status
rgn_area_offshore3nm,LSP,trend
rgn_global,,spatial
rgn_labels,,spatial
sp_alien,AO,pressure
sp_alien,CP,pressure
sp_alien,CS,pressure
sp_alien,ECO,pressure
sp_alien,FIS,pressure
sp_alien,HAB,pressure
sp_alien,ICO,pressure
sp_alien,LIV,pressure
sp_alien,LSP,pressure
sp_alien,NP,pressure
sp_alien,SPP,pressure
sp_genetic,ECO,pressure
sp_genetic,FIS,pressure
sp_genetic,LIV,pressure
sp_genetic,SPP,pressure
species_diversity_3nm,AO,resilience
species_diversity_3nm,HAB,resilience
species_diversity_3nm,NP,resilience
species_diversity_eez,FIS,resilience
species_diversity_eez,HAB,resilience
species_diversity_eez,ICO,resilience
species_diversity_eez,NP,resilience
spp_status,SPP,status
spp_trend,SPP,trend
ss_spi,AO,pressure
ss_spi,CP,pressure
ss_spi,CS,pressure
ss_spi,CW,pressure
ss_spi,ECO,pressure
ss_spi,FIS,pressure
ss_spi,HAB,pressure
ss_spi,ICO,pressure
ss_spi,LIV,pressure
ss_spi,LSP,pressure
ss_spi,MAR,pressure
ss_spi,NP,pressure
ss_spi,SPP,pressure
ss_spi,TR,pressure
ss_wgi,AO,pressure
ss_wgi,CP,pressure
ss_wgi,CS,pressure
ss_wgi,CW,pressure
ss_wgi,ECO,pressure
ss_wgi,FIS,pressure
ss_wgi,HAB,pressure
ss_wgi,ICO,pressure
ss_wgi,LIV,pressure
ss_wgi,LSP,pressure
ss_wgi,MAR,pressure
ss_wgi,NP,pressure
ss_wgi,SPP,pressure
ss_wgi,TR,pressure
tr_jobs_pct_tourism,TR,status
tr_jobs_pct_tourism,TR,trend
tr_sustainability,TR,status
tr_sustainability,TR,trend
uninhabited,,spatial
wgi_all,AO,resilience
wgi_all,CP,resilience
wgi_all,CS,resilience
wgi_all,CW,resilience
wgi_all,ECO,resilience
wgi_all,FIS,resilience
wgi_all,HAB,resilience
wgi_all,ICO,resilience
wgi_all,LIV,resilience
wgi_all,LSP,resilience
wgi_all,MAR,resilience
wgi_all,NP,resilience
wgi_all,SPP,resilience
wgi_all,TR,resilience
liv_status,LIV,status
liv_trend,LIV,trend
eco_status,ECO,status
eco_trend,ECO,trend
