layer,gf_file
hab_coral_extent,globalprep/hab_coral/v2021/data/extent_coral_gf.csv
hab_coral_health,globalprep/hab_coral/v2021/data/health_coral_gf.csv
hab_coral_trend,globalprep/hab_coral/v2021/data/trend_coral_gf.csv
hab_mangrove_extent,NA
hab_mangrove_health,globalprep/hab_mangrove/v2022/data/health_gap_fill.csv
hab_mangrove_trend,globalprep/hab_mangrove/v2022/data/trend_gap_fill.csv
hab_rockyreef_extent,globalprep/hab_rockyreef/v2012/data/extent_rr_gf.csv
hab_saltmarsh_extent,globalprep/hab_saltmarsh/v2023/data/extent_saltmarsh_gf.csv
hab_saltmarsh_health,globalprep/hab_saltmarsh/v2023/data/health_saltmarsh_gf.csv
hab_saltmarsh_trend,globalprep/hab_saltmarsh/v2023/data/trend_saltmarsh_gf.csv
hab_seagrass_extent,globalprep/hab_seagrass/v2021/data/extent_seagrass_gf.csv
hab_seagrass_health,globalprep/hab_seagrass/v2021/data/health_seagrass_gf.csv
hab_seagrass_trend,globalprep/hab_seagrass/v2021/data/trend_seagrass_gf.csv
hab_seaice_extent,globalprep/hab_seaice/v2023/output/hab_ice_extent_eez_gf.csv
hab_seaice_health,globalprep/hab_seaice/v2023/output/hab_ice_health_eez_gf.csv
hab_seaice_trend,globalprep/hab_seaice/v2023/output/hab_ice_trend_eez_gf.csv
hab_softbottom_health,globalprep/hab_prs_hd_subtidal_soft_bottom/v2022/output/habitat_health_softbottom_gf.csv
hab_softbottom_trend,globalprep/hab_prs_hd_subtidal_soft_bottom/v2022/output/habitat_trend_softbottom_gf.csv
hab_tidal_flat_extent,NA
hab_tidal_flat_health,NA
hab_tidal_flat_trend,NA
hd_habitat,globalprep/res_cbd_habitat/v2014/data/r_habitat_2013a_gf.csv
hd_intertidal,globalprep/mar_prs_population/v2021/output/prs_pop_density_gf.csv
hd_mpa_coast,globalprep/lsp/v2023/output/mpa_3nm_resilience_gf.csv
hd_mpa_eez,globalprep/lsp/v2023/output/mpa_eez_resilience_gf.csv
hd_subtidal_hb,globalprep/np_prs_poison_blast_fishing/v2013/data/gl_thr_blast_3nm_rgn2013_gf.csv
hd_subtidal_sb,globalprep/hab_prs_hd_subtidal_soft_bottom/v2022/output/hd_sb_subtidal_gf.csv
hd_coral,globalprep/prs_coral_harvest/v2023/output/prs_coral_gf.csv
ico_spp_iucn_status,ohi-global:eez/temp/ICO_status_trend_gf.csv
le_sector_weight,NA
li_gci,globalprep/res_gci/v2018/output/gci_gf.csv
li_sector_evenness,globalprep/res_li_sector_evenness/v2013/r_li_sector_evenness_2013a_gf.csv
liv_status,NA
liv_trend,NA
lsp_prot_area_inland1km,globalprep/lsp/v2023/output/lsp_prot_area_inland1km_gf.csv
lsp_prot_area_offshore3nm,globalprep/lsp/v2023/output/lsp_prot_area_offshore3nm_gf.csv
mar_capacity,globalprep/mar/v2019/output/aq_potential_gf.csv
mar_harvest_tonnes,globalprep/mar/v2023/output/mar_harvest_tonnes_gf.csv
mar_sustainability_score,globalprep/mar/v2023/output/mar_sustainability_gf.csv
np_seaweed_sust,globalprep/np/v2023/output/np_seaweed_sust_gf.csv
np_fofm_scores,globalprep/np/v2023/output/NP_bbmsy_summary_gf.csv
np_risk_orn,globalprep/np/v2023/output/np_risk_ornamentals_gf.csv
np_exposure_orn,globalprep/np/v2023/output/np_exposure_ornamentals_gf.csv
np_harvest_product_weight,NA
np_seaweed_tonnes,globalprep/np/v2023/output/np_seaweed_harvest_tonnes_gf.csv
np_orn_tonnes_relative,NA
po_chemicals,globalprep/prs_chem/v2015/output/cw_pesticide_score_2015_gf.csv
po_chemicals_3nm,globalprep/prs_chem/v2015/output/cw_pesticide_score_2015_gf.csv
po_nutrients,NA
po_nutrients_3nm,NA
po_pathogens,globalprep/prs_cw_pathogen/v2023/output/po_pathogen_popdensity25mi_gf.csv
po_trash,globalprep/cw_pressure_trash/v2015/output/trash_eez_2015_gf.csv
po_water,globalprep/res_cbd_habitat/v2014/data/r_water_2013a_gf.csv
res_spi,globalprep/prs_res_spi/v2022/output/spi_gf.csv
rgn_area,NA
rgn_area_inland1km,globalprep/lsp/v2023/output/lsp_prot_area_inland1km_gf.csv
rgn_area_offshore3nm,globalprep/lsp/v2023/output/lsp_prot_area_offshore3nm_gf.csv
rgn_global,NA
rgn_labels,NA
sp_alien,globalprep/prs_alien/v2023/data/prs_alien_gf.csv
sp_alien_species,globalprep/res_cbd_habitat/v2014/data/r_alien_species_Nature2012disaggregated_gf.csv
sp_genetic,globalprep/mar/v2023/output/GenEsc_gf.csv
species_diversity_3nm,globalprep/spp/v2022/output/spp_status_3nm_gf.csv
species_diversity_eez,globalprep/spp/v2022/output/spp_status_global_gf.csv
spp_status,globalprep/spp/v2022/output/spp_status_global_gf.csv
spp_trend,globalprep/spp/v2022/output/spp_trend_global_gf.csv
ss_spi,globalprep/prs_res_spi/v2022/output/spi_gf.csv
ss_wgi,globalprep/prs_res_wgi/v2022/output/wgi_gf.csv
tr_arrivals_props_tourism,globalprep/tr/v2023/output/tr_arrivals_props_tourism_gf.csv
tr_sustainability,globalprep/tr/v2022/output/tr_sustainability_gf.csv
uninhabited,NA
wgi_all,globalprep/prs_res_wgi/v2022/output/wgi_gf.csv
hab_kelp_extent,globalprep/hab_kelp/v2021/data/extent_kelp_gf.csv
hab_kelp_health,globalprep/hab_kelp/v2021/data/health_kelp_gf.csv
hab_kelp_trend,globalprep/hab_kelp/v2021/data/trend_kelp_gf.csv
