ds_reference,ds_name,ds_description,ds_years,ds_native_resolution,ds_updated_2016,ds_updated_2017,ds_updated_2018,ds_updated_2019,ds_updated_2020,ds_updated_2021,ds_updated_2022,ds_updated_2023
halpern2015spatial,Chemical pollution: ocean-based,Modeled pollution from shipping and ports,2003/2011,1 km,n,n,n,n,n,n,n,n
bunting2022global,Mangroves,"Global mangrove habitat extent and trend, from remote sensing and assessments",1996-2016,Polygons rasterized to 1km,n,n,n,n,n,"y, new datasource",n,n
homer2004development,Chemical pollution: land-based inorganic,Modeled pollution from urban runoff from impervious surfaces,2000,1 km,n,n,n,n,n,n,n,n
iucn2022,Marine species threatened status,IUCN Red List of threatened species by category; sub-population status for iconic species,1965-2022,National,y,y,y,y,y,y,y,y
iucn_spatial_2022,"Marine species ranges, IUCN",IUCN spatial distribution,2022,Polygons rasterized to 0.5 deg,y,y,y,y,y,y,y,n
iucn2021spatial,"Marine species ranges, IUCN",IUCN spatial distribution,2021,Polygons rasterized to 0.5 deg,NA,NA,NA,NA,NA,"y, new datasource",n,n
jambeck2015plastic,Improper plastic disposal,Trends in mismanaged plastic waste for 2010 and projected for 2025 as a proxy for trash trends,2010-2025 (projected),National,y,n,n,n,n,n,n,n
jarihovila2013,UV radiation,Anomalies in intensity of ultraviolet (UV) radiation,2005-2022,1 deg,y,y,y,y,y,y,y,y
kaufmann2010worldwide,Methods: Worldwide Governance Indicators (WGI),"Accountability, Political Stability and Absence of Violence, Government Effectiveness, Regulatory Quality, Rule of Law, and Control of Corruption",NA,NA,NA,NA,NA,n,n,n,n,n
chen_tidal_2022,Carbon storage weight,Carbon sequestration by habitat,2022,habitat,n,n,n,n,n,n,"y, new datasource",n
lewis2017largescale,Marine protected areas and terrestrial protected areas,Location and area of marine and terrestrial protected areas manual,NA,NA,NA,NA,NA,n,n,n,n,n
martell2016simple,A simple method for estimating MSY from catch and resilience,Methods: Data-limited stock assessments,NA,NA,NA,NA,NA,n,n,n,n,n
melnychuk2017fisheries,Fisheries management index,Management index of the world's marine fisheries,2018,National,NA,NA,NA,"y, new data source (replaces Mora 2009 data)",n,n,n,n
sdg_14_b_1,Fisheries management effectiveness: artisanal; Artisanal fisheries access,Management effectiveness and access of artisanal fisheries,2018-2022,National,n,n,n,n,n,"y, new datasource (replaces Mora 2009 data)",y,"y, minor updates no score changes"
noaa2023,The Coral Reef Temperature Anomaly Database (CoRTAD) Version 6,Sea surface temperature anomalies,1982-2022,4 km,n,n,y,n,n,y,y,unep-wcmcandiucn2023
oconnor_whale_2009,Marine jobs: marine mammal watching,Jobs based on number of whale watchers in a country and a regional average number of whale watchers per employee. Includes all marine mammal watching.,1998-2008,National,n,n,n,n,n,n,n,n
oconnor_whale_2009,Marine revenue: marine mammal watching,Total revenue from marine mammal watching,1998-2008,National,n,n,n,n,n,n,n,n
omalleyocean,NPP website,Net Primary Productivity website,2003-2015,0.083 deg,NA,NA,y,n,n,n,n,n
oostendorp2012occupational,Marine wages,"Occupations within commercial fishing, ports and harbors, ship and boat building, tourism, and transportation and shipping",1989-2008,National,n,n,n,n,n,n,n,n
ramlegacystockassessmentdatabase2023,Stock assessments,Stock assesment scores data,1800-2022,Stock,y,y,y,y,y,y,n,y
ricard2012examining,Knowledge and status of comercially exploited marine species,"Stock assesment RAM data, paper",NA,NA,NA,NA,NA,NA,NA,NA,n,n
rosenberg2014developing,Developing new approaches to global stock status assessment and maximum sustainable production of the seas,Methods: Data-limited stocks assessments,NA,NA,NA,NA,NA,NA,NA,NA,n,n
schutte2010regional,Coral reefs,Global coral change in condition,"2002,1980-2009,2006",0.5 km; 1 km; Sites (points),n,n,n,n,n,n,n,n
schwab2017global,Global Competitiveness Index (GCI),Composite measure of 12 aspects of economic competitiveness,2007-2017,National,n,y,y,n,n,n,n,n
short2011extinction,Seagrass,Global seagrass habitat trend and change in condition,1975-2010,"1 km, National",n,n,n,n,n,"y, improved methods",n,n
unep-wcmc2005,Seagrass,Global seagrass habitat extent,1934-2020,Spatial cell scale,n,n,n,y,n,y,n,n
socialprogressindex2022,Social Progress Index,Index measuring quality of life indicators,2011-2022,National,y,y,y,y,y,y,y,n
stern2021,Social Progress Index,Methods: Index measuring quality of life indicators,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
tallis2011invest,Coastal protection ranks,Ranks of coastal protection provided by habitats,2011,habitat,n,n,n,n,n,"y, added kelp",n,n
thorbourne2011annapolis,Marine jobs: tidal energy,La Rance (France) and Annapolis (Canada) tidal plants employment data,2003-2010,Points (sites),n,n,n,n,n,n,n,n
travaille2022minderoo,Minderoo Global Fishing Index,Regional fisheries governance scores based on various metrics of government capacity to improve fisheries,2021,National,NA,NA,NA,NA,NA,NA,"y, new datasource",n
2022global,Global Fishing Watch,Global Datasets of AIS-based Fishing Effort and Vessel Presence,2012-2020,0.01 deg,NA,NA,NA,NA,NA,NA,"y, new datasource",n
unep-wcmcandiucn2023,The World Database on Protected Areas (WDPA),Location and area of marine and terrestrial protected areas,1819-2021,Shapefile,y,y,y,y,y,y,y,NA
un-fao2023,FAO commodities data,"Export tonnes and value (US dollars) and of coral, ornamental fish, fish oil, sponges, shells, and seaweeds and plants",1976-2021,National,y,n,y,y,y,y,y,y
unitednations2013faoa,Marine revenue: commercial fishing,Total revenue from commercial marine fishing,1997-2007,National,n,n,n,n,n,n,n,n
unitednations2013faoa,Marine revenue: mariculture,Total revenue from mariculture production of marine species,1977-2011,National,n,n,n,n,n,n,n,n
unitednations2013faob,Marine revenue: aquarium trade fishing,Revenue of Aquarium Trade Fishing derived from commodities database,1984-2009,National,n,n,n,n,n,n,n,n
united_nations_fao_2016,Chemical pollution: land-based organic,Pesticide application data,1990-2013,1 km (FAO data is National),y,n,n,n,n,n,n,n
unitednations2021faostat,Nutrient pollution,N excreted in manure data,2005-2019,1km (FAO data is National,NA,NA,NA,NA,NA,"y, new datasource",n,y
unitednations2022faostata,Nutrient pollution,Fertilizer application data,2005-2020,1 km (FAO data is National),y,n,n,n,n,y,y,y
unitednations2023a,Mariculture yield,"Production of finfish, seaweeds, and invertebrates",1950-2021,National,y,y,y,y,y,y,y,y
unitednations2023,Global Capture Production: Targeted harvest,Catch statistics for cetaceans and marine turtles,1950-2021,National,y,y,y,y,y,y,y,y
unitednationspersonalcommunication2011fao,Marine jobs: commercial fishing,"Global Number of Fishers, commercial fishing",1990-2008,National,n,n,n,n,n,n,n,n
unitednationspersonalcommunication2011fao,Marine jobs: mariculture,"Global Number of Fishers, aquaculture",1993-2008,National,n,n,n,n,n,n,n,n
unitednations2012statistics,Marine revenue: tidal energy,Total revenue from marine renewable energy,1990/2001-2010/2008,National,n,n,n,n,n,n,n,n
unitednations2007world,FAO Forestry Paper 153: The World's Mangroves,Global mangrove extents estimated by the FAO and used to define reference points for mangrove condition,1980/1990/2000/2005,Country,n,n,n,n,n,n,n,n
pauly2020,Fisheries catch data,Fisheries catch by species and country,1950-2018,National,NA,NA,NA,NA,NA,"y, new datasource (replaces Watson for fisheries catch)",n,n
watson2019global,Fisheries catch data v5,Fisheries catch by species and gear type (tonnes/km2),1950-2017,0.5 deg,n,"y, replaced modeled catch of Halpern et al. 2008",y,y,y,n,n,n
waycott2009accelerating,Seagrass,Global seagrass habitat change in condition and trends,1879-2007,"1 km, National",n,n,n,n,n,"y, improved methods",n,n
wefttdi2021,Travel and Tourism Development Index,Index that measures the set of factors and policies that enable the sustainable and resilient development of the Travel and Tourism sector,2019-2021,National,NA,NA,NA,NA,NA,NA,"y, new datasource",n
who-unicef2023,Sanitation access,Percent population without access to improved sanitation facilities,2000-2022,National,n,n,"n, source updated how they report data",y,n,y,n,y
worldbank2014gdp,Gross Domestic Product (GDP),"Gross Domestic Product; Adjustment to all revenue data layers to factor out global economic fluctuations, in 2012 $USD",1960-2012,National,n,n,n,n,n,n,n,n
worldbank2023,GDPpcPPP,Per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP,1990-2022,National,y,y,y,y,y,y,y,y
worldbank2014labor,Labor force,Number of people aged 15 and older who could contribute to the production of goods and services,1990-2011,National,n,n,n,n,n,n,n,n
worldbank2016population,Total population,Census populations for countries,1990-2012,National,n,n,n,n,n,n,n,n
worldbank2014unemployment,National percent unemployment,Percent of the labor force unemployed but able to and looking for work,1990-2011,National,n,n,n,n,n,n,n,n
worldbank2022wgi,Worldwide Governance Indicators (WGI),"Accountability, Political Stability and Absence of Violence, Government Effectiveness, Regulatory Quality, Rule of Law, and Control of Corruption",1996-2021,National,y?,y,y,y,y,y,y,n
wttc_econ_2022,Economic Impact Reports,Economic and employment impact of Travel & Tourism for 185 countries/economies,2019-2021,National,NA,NA,NA,NA,NA,NA,"y, new datasource",n
wttc2013world,Marine jobs: tourism,Total contribution of tourism to employment,1988-2012,National,n,n,n,n,n,n,n,n
wttc2013world,Marine revenue: tourism,"Total tourism revenue by country, adjusted by country's relative proportion of coastal area",1998-2012,National,n,n,n,n,n,n,n,n
wttc2019world,Travel and Tourism Direct Contribution to Employment,"Employment directly linked to travel and tourism sectors (hotels, transportation, services)",1988-2019,National,y,y,y,y,y,n,n,n
froehlich2020avoiding,Avoiding the ecological limits of forage fish for fed aquaculture,Avoiding the ecological limits of forage fish for fed aquaculture,2018,Stock,NA,NA,NA,NA,"y, new data",n,n,n
2023,Monterey Bay Aquarium Seafood Watch,Scores for the sustainability of seafood,2023,Stock,NA,NA,NA,NA,"y, new data",y,y,y
unep-wcmc2018global,Coral reefs,Global Distribution of Coral Reefs,1954 - 2018,National,NA,NA,NA,NA,"y, new data",n,n,n
jayathilake2020modelled,Kelp forests,"A modeled global distribution of the kelp biome; kelp extent, kelp health",1900-2020,Polygons rasterized to 1km,NA,NA,NA,NA,NA,"y, new datasource",n,n
wernberg2019status,Kelp forests,Global kelp forest condition,1969-2019,Global,NA,NA,NA,NA,NA,"y, new datasource",n,n
spalding2007marine,Marine Ecoregions of the World,Classification of the world's marine ecoregions,2007,Ecoregion,NA,NA,NA,NA,NA,NA,NA,n
krumhansl2016global,Kelp forests,Global kelp trends,1983-2012,National,NA,NA,NA,NA,NA,"y, new datasource",n,n
tuholske2021,Nutrient pollution,Global wastewater methods,NA,NA,NA,NA,NA,NA,NA,"y, new datasource",n,n
halpern2022cumulative,Nutrient pollution,"Global food systems crop and livestock maps, and excess nutrient methdos",NA,1km,NA,NA,NA,NA,NA,"y, new datasource",n,n
murray_2019,Tidal flats,"Global tidal flat habitat extent and trend, from remote sensing",1984-2016,30m,NA,NA,NA,NA,NA,NA,"y, new datasource",n
pagad_2018,Global Register of Introduced and Invasive Species,Global country level count of introduced and invasive species,"2018-2020, 2022",National,NA,NA,NA,NA,NA,NA,"y, new datasource",y
palomares2022search,SeaLifeBase,"Global online database similar to FishBase, containing information about non-fish marine organisms, such as taxonomy, marine species distribution, and ecology, to be used to conduct biodiversity and ecosystem studies",NA,0.5 deg,y,y,y,y,y,y,NA,NA
froese2022fishbase,FishBase,"Global biodiversity information system on finfishes, provides a wide range of information on all species currently known in the world: taxonomy, biology, trophic ecology, life history, and uses, as well as historical data reaching back to 250 years",NA,0.5 deg,y,y,y,y,y,y,NA,NA
faofisheriesandaquaculturedepartment2015cwp,Coordinating Working Party Handbook of Fishery Statistical Standards. Section H: FISHING AREAS FOR STATISTICAL PURPOSES,Food and Agriculture Organization of the United Nations major fishing areas,1999-2022,NA,NA,NA,NA,NA,NA,NA,NA,n
unep-wcmcandiucn2023,Protected Planet: The World Database on Protected Areas (WDPA),The most comprehensive global database on terrestrial and marine protected areas,1800 - 2021,500m,y,NA,y,y,y,y,y,y
garcia2023,Biocultural vulnerability exposes threats of culturally important species,Global list of Culturally important species,NA,continent,NA,NA,NA,NA,NA,NA,NA,"y, new datasource"
unwto2023arrivals,United Nations World Tourism Organization (UNWTO) 145 Key Tourism Statistics: Inbound Tourism - Total arrivals,"Total international arrivals, annual by country, including Overnights (tourists), Same-day (excursionists), and Total arrivals",1995-2021,National,NA,NA,NA,NA,NA,NA,NA,"y, new datasource"
worldbank2023population,"Population, total","Total population, annual by country",1960-2022,National,NA,NA,NA,NA,NA,NA,NA,"y, new datasource"
ourworldindata2023population,"Population, 10,000 BCE to 2021","Total population, annual by country","10,000 BCE-2021",National,NA,NA,NA,NA,NA,NA,NA,"y, new datasource"
statista2023sabapopulation,Population of Saba in the Caribbean Netherlands from 2011 to 2023,"Total population, annual for Saba",2011-2023,National,NA,NA,NA,NA,NA,NA,NA,"y, new datasource"
statista2023sinteustatiuspopulation,Population of Sint Eustatius in the Caribbean Netherlands from 2011 to 2023,"Total population, annual for Sint Eustatius",2011-2023,National,NA,NA,NA,NA,NA,NA,NA,"y, new datasource"
