targets,layer,name,description,fld_value,units,dir_2014a,fn_2014a,dir_2015a,fn_2015a,ingest,global_methods,global_data,2014_assessment_data_methods
pressures CW,po_pathogens,Potential pathogen pollution,Effectiveness of waste water treatment at field stations scaled by population size,pressure_score,pressure score,ohiprep:Antarctica/AQ_CW_pressure_pathogen/data,po_pathogens.csv,,,T,N,N,N_N
regions,rgn_labels,CCAMLR regions to OHI id,Translate between different label types,ccamlr_id,ccamlr_id,ohiprep:Antarctica/Other,ccamlr2sp_id.csv,,,T,NA,NA,NA
regions,rgn_global,CCAMLR regions,"CCAMLR marine regions (CCAMLR Convention Area, 2015, https://www.ccamlr.org/en/organisation/convention-area) ",label,label,ohiprep:Antarctica/Other,rgn_labels_ccamlr_lyr.csv,,,T,NA,NA,NA
regions,rgn_area,"CCAMLR marine area, km2","CCAMLR marine area (CCAMLR Convention Area, 2015, https://www.ccamlr.org/en/organisation/convention-area)",area_km2,km^2,ohiprep:Antarctica/Other,rgn_area_ccamlr_eez_lyr.csv,,,T,NA,NA,NA
regions,rgn_area_inland,"CCAMLR inland 1 km, km2","CCAMLR marine area (CCAMLR Convention Area, 2015, https://www.ccamlr.org/en/organisation/convention-area)",area_km2,km^2,ohiprep:Antarctica/Other,rgn_area_ccamlr_inland_1km_lyr.csv,,,T,NA,NA,NA
resilience,rfmo,RFMO governance effectiveness,Governance effectiveness of CCAMLR Regional Fisheries Management Organization.,resilience score,resilience score,ohiprep:Antarctica/AQ_Resilience,rfmo_AQ.csv,,,T,N,N,N_N
resilience,UNFCCC_Kyoto,Kyoto signatories,"United Nations Framework Convention on Climate Change, Kyoto Protocol (UN FCCC, 2015, http://unfccc.int/kyoto_protocol/status_of_ratification/items/2613.php).  Global score based on proportion of global signatories. ",resilience score,resilience score,ohiprep:Antarctica/AQ_Resilience,UNFCCC_Kyoto_AQ.csv,,,T,N,N,N_N
resilience,UNEP_gap_report,emissions progress,"Effectiveness of global emissions cutting progress based on United Nations Environment Programme GAP Report (Ullstein, 2013)",resilience score,resilience score,ohiprep:Antarctica/AQ_Resilience,UNEP_gap_report_AQ.csv,,,T,N,N,N_N
resilience,BWM_aliens,Effectiveness of Marpol regulations,"IMO's International Convention for the Control and Management of Ships' Ballast Water and Sediments (BMW, 2015, http://www.imo.org/en/About/Conventions/ListOfConventions/Pages/International-Convention-for-the-Control-and-Management-of-Ships'-Ballast-Water-and-Sediments-(BWM).aspx).  Score based on 'expert judgement' based on (1) having the regulatory framework in place, and (2) enforcement and effectivenss. ",resilience score,resilience score,ohiprep:Antarctica/AQ_Resilience,BWM_aliens_AQ.csv,,,T,N,N,N_N
resilience,Marpol_poll,Effectiveness of Marpol regulations,"IMO's International Convention for the Prevention of Pollution from Ships (MARPOL, 2015, http://www.imo.org/en/About/Conventions/ListOfConventions/Pages/International-Convention-for-the-Prevention-of-Pollution-from-Ships-(MARPOL).aspx). Score based on 'expert judgement' based on (1) having the regulatory framework in place, and (2) enforcement and effectivenss. ",resilience score,resilience score,ohiprep:Antarctica/AQ_Resilience,Marpol_poll_AQ.csv,,,T,N,N,N_N
resilience,MPAs,LSP status,See Lasting Special Places description.  Calculated in Lasting Special Places function of the toolbox (saved in temp folder).,resilience score,resilience score,ohiprep:Antarctica/AQ_Resilience,MPAs_v2014.csv,ohiprep:Antarctica/AQ_Resilience,MPAs_v2015.csv,T,Y,N,N_N
SPP,spp_status,Species status,"Regional average of species IUCN threat status, using methods described in Halpern et al. 2015; status is from IUCN (IUCN, 2015, http://www.iucnredlist.org); and spatial information is from IUCN and Aquamaps range maps (IUCN, 2015, http://www.iucnredlist.org; Kaschner et al., 2015, www.aquamaps.org)",score,status score,ohiprep:globalprep/spp_ico/v2015/data,spp_status_aq.csv,,,T,Y,Y,Y_N
SPP,spp_trend,Species trend,"Regional average of species IUCN trend, using methods described in Halpern et al. 2015; status is from IUCN (IUCN, 2015, http://www.iucnredlist.org); and spatial information is from IUCN and Aquamaps range maps (IUCN, 2015, http://www.iucnredlist.org; Kaschner et al., 2015, www.aquamaps.org)",score,trend score,ohiprep:globalprep/spp_ico/v2015/data,spp_trend_aq.csv,,,T,Y,Y,Y_N
TR,tr_days,Tourist days,"Number of tourist days (IAATO, 2015, http://iaato.org/tourism-statistics)",days,days,ohiprep:Antarctica/AQ_TR/data,tr_days.csv,,,T,N,N,N_N
pressures LE,le_sector_weight,Jobs weighting,Jobs weighting by sector (defaulting to 1),weight,value,ohiprep:Antarctica/Other,LIV_sector_weights.csv,,,T,NA,NA,NA
pressures HAB,hab_presence,Habitat presence,Modeled combined habitat presence,weight,boolean,ohiprep:Antarctica/Other,hab_presence.csv,,,T,NA,NA,NA
pressures,hd_sea_ice,Sea ice loss of season pressure,Inverse of sea ice habitat status scaled so a 50% reduction in season length corresponds to a pressure of 1.  This dataset is generated in the HAB function of the toolbox.,pressure_score,pressure score,ohiprep:Antarctica/AQ_SeaIce/v2015//data,hd_sea_ice.csv,,,T,N,N,Y_Y
