ds_reference,ds_name,ds_description,ds_years,ds_native_resolution,ds_updated_2016,ds_updated_2017
kaufmann_worldwide_2010,Worldwide Governance Indicators (WGI),"Accountability, Political Stability and Absence of Violence, Government Effectiveness, Regulatory Quality, Rule of Law, and Control of Corruption",1996-2015,National,y?,y
laffoley_management_2009,Carbon storage weight,Carbon sequestration by habitat,2009,habitat,n,n
molnar_assessing_2008,Alien species,The number and type of invasive and harmful invasive species in each marine ecoregion,2008,"Ecoregion (sensu Spalding et al., 2007)",n,n
mora_management_2009,Fisheries management effectiveness,Management effectiveness of the world's marine fisheries,2009,National,n,n
mora_management_2009,Fisheries management effectiveness: artisanal,Management effectiveness of artisanal fisheries,2009,National,n,n
new_zealand_ministry_for_the_environment_environment_2007,Salt marsh,Global salt marsh habitat extent and condition,1975-2007,National,n,n
noaa_coral_2015,Sea surface temperature (SST) anomalies,Sea surface temperature anomalies,1982-2012,4 km,n,n
oconnor_whale_2009,Marine jobs: marine mammal watching,Jobs based on number of whale watchers in a country and a regional average number of whale watchers per employee. Includes all marine mammal watching.,1998-2008,National,n,n
oconnor_whale_2009,Marine revenue: marine mammal watching,Total revenue from marine mammal watching,1998-2008,National,n,n
oostendorp_occupational_2012,Marine wages,"Occupations within commercial fishing, ports and harbors, ship and boat building, tourism, and transportation and shipping",1989-2008,National,n,n
pauly_sea_2015,Fisheries catch data,Global fisheries catch statistics in yield per species,1980-2014,0.5 degree,y,y
porter_social_2014,Social Progress Index,Index measuring quality of life indicators,2014-2017,National,y,y
schutte_regional_2010,Coral reefs,Global coral habitat extent and change in condition,"2002,1980-2009,2006",0.5 km; 1 km; Sites (points),n?,n
short_extinction_2011,Seagrass,Global seagrass habitat extent and change in condition,1975-2010,"1 km, National",n,n
stern_social_2016,Social Progress Index,Index measuring quality of life indicators,2014-2017,National,y,y
tallis_invest_2011,Coastal protection ranks,Ranks of coastal protection provided by habitats,2011,habitat,n,n
thaminnen_aura_2013,UV radiation,Anomalies in intensity of ultraviolet (UV) radiation ,2016,1 deg,y,y
thorbourne_annopolis_2011,Marine jobs: tidal energy,La Rance (France) and Annapolis (Canada) tidal plants employment data,2003-2010,Points (sites),n,n
trujillo_using_2008,Mariculture Sustainability Index (MSI),"Mariculture Sustainability Index (MSI): traceability and code of practice, fishmeal use, waste treatment, and seed and larvae origin indicators",1994-2003,National,n,n
unep_world_2015,Marine protected areas and terrestrial protected areas,Location and area of marine and terrestrial protected areas,2010-2016,Shapefile,y,y
unep-wcmc_global_2005,Seagrass,Global seagrass habitat extent and change in condition,1975-2010,"1 km, National",n,n
unep-wcmc_world_2015,Marine protected areas and terrestrial protected areas,Location and area of marine and terrestrial protected areas,2010-2017,Shapefile,y,y
united_nations_fao_2013,Marine revenue: commercial fishing,Total revenue from commercial marine fishing,1997-2007,National,n,n
united_nations_fao_2013-1,Marine revenue: aquarium trade fishing,Revenue of Aquarium Trade Fishing derived from commodities database,1984-2009,National,n,n
united_nations_fao_2013-2,Marine revenue: mariculture,Total revenue from mariculture production of marine species,1977-2011,National,n,n
united_nations_fao_2016-1,Mariculture yield,Production of finfish and invertebrates,1976-2015,National,y,y
united_nations_fao_2016-2,Chemical pollution: land-based organic,Modeled pollution from pesticides,1990-2013,1 km (FAO data is National),y,n
united_nations_fao_2016-2,Targeted harvest,Catch statistics for cetaceans and marine turtles,1950-2015,National,y,y
united_nations_fao_2016-3,FAO commodities data,"Export tonnes and value (US dollars) and of coral, ornamental fish, fish oil, sponges, shells, and seaweeds and plants",1976-2013,National,y,n
united_nations_fao_2016-3,Nutrient pollution,Modeled N input from fertilizer use as a proxy for nutrient pollution,1990-2013,1 km (FAO data is National),y,n
united_nations_personal_communication_fao_2011,Marine jobs: commercial fishing,Global Number of Fishers,1990-2008,National,n,n
united_nations_personal_communication_fao_2011,Marine jobs: mariculture,"Global Number of Fishers database, adjusted by proportion of a country's aquaculture production that is focused on marine species",1993-2008,National,n,n
united_nations_statistics_2012,Marine revenue: tidal energy,Total revenue from marine renewable energy,1990/2001-2010/2008,National,n,n
united_nations_worlds_2007,Mangroves,Mangrove condition,1980/1990/2000/2005,Country,n,n
us_department_of_state_travel_2016,Travel warnings,Travel warnings issued by the US State Department,2015-2017,National,y,y
watson_database_2017,Fisheries catch data,Fisheries catch by species and gear type (tonnes/km2),1950-2014,0.5 deg,n,"y, replaced modeled catch of Halpern et al. 2008"
waycott_accelerating_2009,Seagrass,Global seagrass habitat extent and change in condition,1975-2010,"1 km, National",n,n
who-unicef_joint_2015,Sanitation access,Percent population without access to improved sanitation facilities,1990-2015,National,n,n
world_bank_gdp_2016,GDPpcPPP,Per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP,1990-2016,National,y,y
world_bank_gdp_2016,Gross Domestic Product (GDP),"Gross Domestic Product; Adjustment to all revenue data layers to factor out global economic fluctuations, in 2012 $USD ",1960-2012,National,n,n
world_bank_labor_2014,Labor force,Number of people aged 15 and older who could contribute to the production of goods and services,1990-2011,National,n,n
world_bank_unemployment_2014,National percent unemployment,Percent of the labor force unemployed but able to and looking for work,1990-2011,National,n,n
wttc_world_2013,Marine jobs: tourism,Total contribution of tourism to employment,1988-2012,National,n,n
wttc_world_2013,Marine revenue: tourism,"Total tourism revenue by country, adjusted by country's relative proportion of coastal area",1998-2012,National,n,n
wttc_world_2016,Travel and Tourism Direct Contribution to Employment,"Employment directly linked to travel and tourism sectors (hotels, transportation, services)",1988-2016,National,y,y
