layer,variable,variable_data_2018,variable_data_2019
fp_com_hb,dataprep_url,globalprep/prs_fish/v2018/npp.html,globalprep/prs_fish/v2019/npp.html
fp_com_lb,dataprep_url,globalprep/prs_fish/v2018/fishing_pressure_layers.html,globalprep/prs_fish/v2019/fishing_pressure_layers.html
fp_com_lb,dataprep_url,globalprep/prs_fish/v2018/npp.html,globalprep/prs_fish/v2019/npp.html
fp_habitat,dataprep_url,globalprep/res_cbd_habitat,
fp_fish_management,dataprep_url,globalprep/res_mora_ao,globalprep/res_fmi/v2019/fmi_data_prep.html
fp_mora_artisanal,dataprep_url,globalprep/res_mora_ao,
fp_mpa_coast,dataprep_url,globalprep/lsp/v2018/lsp_data_prep.html,globalprep/lsp/v2019/lsp_data_prep.html
fp_mpa_eez,dataprep_url,globalprep/lsp/v2018/lsp_data_prep.html,globalprep/lsp/v2019/lsp_data_prep.html
fp_targetharvest,dataprep_url,globalprep/prs_targetedharvest/v2018/targetharvest_dataprep.html,globalprep/prs_targetedharvest/v2019/targetharvest_dataprep.html
fp_wildcaught_weight,dataprep_url,globalprep/fp/v2018/FP_script.html,
g_cites,dataprep_url,globalprep/res_cites_signatories/v2017,
g_mariculture,dataprep_url,globalprep/res_cbd_habitat,
g_msi_gov,dataprep_url,globalprep/res_mariculture_sustainability,
g_tourism,dataprep_url,globalprep/res_cbd_habitat,
hab_coral_extent,dataprep_url,globalprep/hab_coral,globalprep/hab_coral/v2019/coral_extent_2019.html
hab_coral_health,dataprep_url,globalprep/hab_coral,globalprep/hab_coral/v2019/coral_extent_2019.html
hab_coral_trend,dataprep_url,globalprep/hab_coral,globalprep/hab_coral/v2019/coral_extent_2019.html
hab_mangrove_extent,dataprep_url,globalprep/hab_mangrove/v2015,
hab_mangrove_health,dataprep_url,globalprep/hab_mangrove,
hab_mangrove_trend,dataprep_url,globalprep/hab_mangrove/v2015,
hab_rockyreef_extent,dataprep_url,globalprep/hab_rockyreef,
hab_saltmarsh_extent,dataprep_url,globalprep/hab_saltmarsh,globalprep/hab_saltmarsh/v2019/salt_marsh_extent_2019.html
hab_saltmarsh_health,dataprep_url,globalprep/hab_saltmarsh,globalprep/hab_saltmarsh/v2019/salt_marsh_extent_2019.html
hab_saltmarsh_trend,dataprep_url,globalprep/hab_saltmarsh,globalprep/hab_saltmarsh/v2019/salt_marsh_extent_2019.html
hab_seagrass_extent,dataprep_url,globalprep/hab_seagrass,globalprep/hab_seagrass/v2019/sg_extent_2019.html
hab_seagrass_health,dataprep_url,globalprep/hab_seagrass,globalprep/hab_seagrass/v2019/sg_condition_2019.html
hab_seagrass_trend,dataprep_url,globalprep/hab_seagrass,globalprep/hab_seagrass/v2019/sg_trend_explore.html
hab_seaice_extent,dataprep_url,globalprep/hab_seaice/v2018/hab_seaice_dataprep.html,globalprep/hab_seaice/v2019/hab_seaice_dataprep.html
hab_seaice_health,dataprep_url,globalprep/hab_seaice/v2018/hab_seaice_dataprep.html,globalprep/hab_seaice/v2019/hab_seaice_dataprep.html
hab_seaice_trend,dataprep_url,globalprep/hab_seaice/v2018/hab_seaice_dataprep.html,globalprep/hab_seaice/v2019/hab_seaice_dataprep.html
hab_softbottom_health,dataprep_url,globalprep/hab_prs_hd_subtidal_soft_bottom/v2018/hab_prs_soft_bottom_data_prep.html,
hab_softbottom_trend,dataprep_url,globalprep/hab_prs_hd_subtidal_soft_bottom/v2018/hab_prs_soft_bottom_data_prep.html,
hd_habitat,dataprep_url,globalprep/res_cbd_habitat,
hd_intertidal,dataprep_url,globalprep/mar_prs_population/v2018/mar_prs_pop_dataprep.html,globalprep/mar_prs_population/v2019/mar_prs_pop_dataprep.html
hd_mpa_coast,dataprep_url,globalprep/lsp/v2018/lsp_data_prep.html,globalprep/lsp/v2019/lsp_data_prep.html
hd_mpa_eez,dataprep_url,globalprep/lsp/v2018/lsp_data_prep.html,globalprep/lsp/v2019/lsp_data_prep.html
hd_subtidal_hb,dataprep_url,globalprep/np_prs_poison_blast_fishing/v2018,
hd_subtidal_sb,dataprep_url,globalprep/hab_prs_hd_subtidal_soft_bottom/v2018/hab_prs_soft_bottom_data_prep.html,
ico_spp_iucn_status,dataprep_url,globalprep/ico/v2018/ico_data_prep.html,globalprep/ico/v2019/ico_data_prep.html
le_sector_weight,dataprep_url,globalprep/le,
li_gci,dataprep_url,globalprep/res_gci/v2018/res_gci_dataprep.html,
li_sector_evenness,dataprep_url,globalprep/res_li_sector_evenness,
liv_status,dataprep_url,globalprep/le/v2018,
liv_trend,dataprep_url,globalprep/le/v2018,
lsp_prot_area_inland1km,dataprep_url,globalprep/lsp/v2018/lsp_data_prep.html,globalprep/lsp/v2019/lsp_data_prep.html
lsp_prot_area_offshore3nm,dataprep_url,globalprep/lsp/v2018/lsp_data_prep.html,globalprep/lsp/v2019/lsp_data_prep.html
mar_capacity,dataprep_url,globalprep/mar_prs_population/v2019/mar_dataprep.html,globalprep/mar_prs_population/v2019/mar_prs_pop_dataprep.html
mar_harvest_tonnes,dataprep_url,globalprep/mar/v2019/mar_dataprep.html,globalprep/mar/v2019/mar_dataprep.html
mar_sustainability_score,dataprep_url,globalprep/mar/v2019/mar_dataprep.html,globalprep/mar/v2019/mar_dataprep.html
np_blast,dataprep_url,globalprep/np_prs_poison_blast_fishing,
np_cyanide,dataprep_url,globalprep/np_prs_poison_blast_fishing,
np_harvest_product_weight,dataprep_url,globalprep/np/v2018/np_dataprep.html,globalprep/np/v2019/np_dataprep.html
np_harvest_tonnes,dataprep_url,globalprep/np/v2018/np_dataprep.html,globalprep/np/v2019/np_dataprep.html
np_harvest_tonnes_relative,dataprep_url,globalprep/np/v2018/np_dataprep.html,globalprep/np/v2019/np_dataprep.html
po_chemicals,dataprep_url,globalprep/prs_chem/v2016,
po_chemicals_3nm,dataprep_url,globalprep/prs_chem/v2016,
po_nutrients,dataprep_url,globalprep/prs_land-based_nutrient/v2016,
po_nutrients_3nm,dataprep_url,globalprep/prs_land-based_nutrient/v2016,
po_pathogens,dataprep_url,globalprep/prs_cw_pathogen/v2018/cw_sanitation_data_prep.html,globalprep/prs_cw_pathogen/v2019/cw_sanitation_data_prep.html
po_trash,dataprep_url,globalprep/cw_pressure_trash/v2015,
po_water,dataprep_url,globalprep/res_cbd_habitat,
res_spi,dataprep_url,globalprep/prs_res_spi/v2018/spi_dataprep.html,
rgn_area,dataprep_url,globalprep/spatial,
rgn_area_inland1km,dataprep_url,globalprep/spatial,
rgn_area_offshore3nm,dataprep_url,globalprep/spatial,
rgn_global,dataprep_url,globalprep/spatial,
rgn_labels,dataprep_url,globalprep/spatial,
sp_alien,dataprep_url,globalprep/prs_alien,
sp_alien_species,dataprep_url,globalprep/res_cbd_habitat,
sp_genetic,dataprep_url,globalprep/mar/v2018/mar_dataprep.html,globalprep/mar/v2019/mar_dataprep.html
species_diversity_3nm,dataprep_url,globalprep/spp/v2018/spp_data_prep.html,globalprep/spp/v2019/spp_data_prep.html
species_diversity_eez,dataprep_url,globalprep/spp/v2018/spp_data_prep.html,globalprep/spp/v2019/spp_data_prep.html
spp_status,dataprep_url,globalprep/spp/v2018/spp_data_prep.html,globalprep/spp/v2019/spp_data_prep.html
spp_trend,dataprep_url,globalprep/spp/v2018/spp_data_prep.html,globalprep/spp/v2019/spp_data_prep.html
ss_spi,dataprep_url,globalprep/prs_res_spi/v2018/spi_dataprep.html,
ss_wgi,dataprep_url,globalprep/prs_res_wgi/v2018/WGI_dataprep.html,globalprep/prs_res_wgi/v2019/WGI_dataprep.html
tr_jobs_pct_tourism,dataprep_url,globalprep/tr/v2018/tr_data_prep.html,globalprep/tr/v2019/tr_data_prep.html
tr_sustainability,dataprep_url,globalprep/tr/v2018/tr_data_prep.html,
tr_travelwarnings,dataprep_url,globalprep/tr/v2018/tr_data_prep.html,globalprep/tr/v2019/tr_data_prep.html
uninhabited,dataprep_url,globalprep/supplementary_information/v2018,globalprep/supplementary_information/v2019
wgi_all,dataprep_url,globalprep/prs_res_wgi/v2018/WGI_dataprep.html,globalprep/prs_res_wgi/v2019/WGI_dataprep.html
ao_access,ds_reference,mora_management_2009,
ao_need,ds_reference,world_bank_gdp_2017,world_bank_gdp_2018
cc_acid,ds_reference,feely_ocean_2009,
cc_slr,ds_reference,aviso_satellite_2018,aviso_satellite_2019
cc_sst,ds_reference,noaa_coral_2018,
cc_uv,ds_reference,hovila_omuvbd:_2013,jari_hovila_omuvbd:_2013
cw_chemical_trend,ds_reference,halpern_global_2008,
cw_chemical_trend,ds_reference,halpern_spatial_2015,
cw_chemical_trend,ds_reference,homer_development_2004,
cw_chemical_trend,ds_reference,united_nations_fao_2016-2,
cw_nutrient_trend,ds_reference,halpern_global_2008,
cw_nutrient_trend,ds_reference,halpern_spatial_2015,
cw_nutrient_trend,ds_reference,homer_development_2004,
cw_nutrient_trend,ds_reference,united_nations_fao_2017,
cw_pathogen_trend,ds_reference,who-unicef_joint_2017,who-unicef_joint_2019
cw_trash_trend,ds_reference,jambeck_plastic_2015,
eco_status,ds_reference,kaufmann_worldwide_2010,
eco_status,ds_reference,oconnor_whale_2009,
eco_status,ds_reference,united_nations_fao_2013,
eco_status,ds_reference,united_nations_fao_2013-1,
eco_status,ds_reference,united_nations_fao_2013-2,
eco_status,ds_reference,united_nations_statistics_2012,
eco_status,ds_reference,world_bank_population_2016,
eco_trend,ds_reference,kaufmann_worldwide_2010,
eco_trend,ds_reference,oconnor_whale_2009,
eco_trend,ds_reference,united_nations_fao_2013,
eco_trend,ds_reference,united_nations_fao_2013-1,
eco_trend,ds_reference,united_nations_fao_2013-2,
eco_trend,ds_reference,united_nations_statistics_2012,
eco_trend,ds_reference,world_bank_gdp_2014,
eco_trend,ds_reference,world_bank_population_2016,
element_wts_cp_km2_x_protection,ds_reference,tallis_invest_2011,
element_wts_cs_km2_x_storage,ds_reference,laffoley_management_2009,
fis_b_bmsy,ds_reference,anderson_stock_2018,
fis_b_bmsy,ds_reference,free_mapping_2017,
fis_b_bmsy,ds_reference,martell_simple_2013,
fis_b_bmsy,ds_reference,ram_ram_2017,ram_legacy_stock_assessment_database_ram_2018
fis_b_bmsy,ds_reference,ricard_examining_2012,
fis_b_bmsy,ds_reference,rosenberg_developing_2014,
fis_b_bmsy,ds_reference,watson_mapping_2018,watson_global_2019
fis_meancatch,ds_reference,watson_mapping_2018,watson_global_2019
fp_art_hb,ds_reference,behrenfeld_photosynthetic_1997,
fp_art_hb,ds_reference,omalley_ocean_nodate,
fp_art_hb,ds_reference,watson_mapping_2018,watson_global_2019
fp_art_lb,ds_reference,behrenfeld_photosynthetic_1997,
fp_art_lb,ds_reference,omalley_ocean_nodate,
fp_art_lb,ds_reference,watson_mapping_2018,watson_global_2019
fp_com_hb,ds_reference,behrenfeld_photosynthetic_1997,
fp_com_hb,ds_reference,omalley_ocean_nodate,
fp_com_hb,ds_reference,watson_mapping_2018,watson_global_2019
fp_com_lb,ds_reference,behrenfeld_photosynthetic_1997,
fp_com_lb,ds_reference,omalley_ocean_nodate,
fp_com_lb,ds_reference,watson_mapping_2018,watson_global_2019
fp_habitat,ds_reference,convention_on_biological_diversity_3rd_2005,
fp_fish_management,ds_reference,,melnychuk_fisheries_2017
fp_mora_artisanal,ds_reference,mora_management_2009,
fp_mpa_coast,ds_reference,lewis_large-scale_2017,
fp_mpa_coast,ds_reference,unep-wcmc_and_iucn_protected_2018,unep-wcmc_and_iucn_protected_2019
fp_mpa_eez,ds_reference,lewis_large-scale_2017,
fp_mpa_eez,ds_reference,unep-wcmc_and_iucn_protected_2018,unep-wcmc_and_iucn_protected_2019
fp_targetharvest,ds_reference,united_nations_fao_2018,united_nations_fao_2019
fp_wildcaught_weight,ds_reference,united_nations_fao_2018-1,
fp_wildcaught_weight,ds_reference,watson_mapping_2018,
g_cites,ds_reference,cites_member_2015,
g_mariculture,ds_reference,convention_on_biological_diversity_3rd_2005,
g_msi_gov,ds_reference,trujillo_using_2008,
g_tourism,ds_reference,convention_on_biological_diversity_3rd_2005,
hab_coral_extent,ds_reference,burke_reefs_2011,unep-wcmc_global_2018
hab_coral_health,ds_reference,bruno_regional_2007,
hab_coral_health,ds_reference,schutte_regional_2010,
hab_coral_trend,ds_reference,bruno_regional_2007,
hab_coral_trend,ds_reference,schutte_regional_2010,
hab_mangrove_extent,ds_reference,hamilton_creation_2016,
hab_mangrove_health,ds_reference,united_nations_worlds_2007,
hab_mangrove_trend,ds_reference,hamilton_creation_2016,
hab_rockyreef_extent,ds_reference,halpern_global_2008,
hab_saltmarsh_extent,ds_reference,bridgham_carbon_2006,unep-wcmc_global_2017
hab_saltmarsh_extent,ds_reference,dahl_status_2011,
hab_saltmarsh_extent,ds_reference,eionet_european_environment_agency_eea_eu_2008,
hab_saltmarsh_extent,ds_reference,joint_nature_conservation_committee_common_2004,
hab_saltmarsh_extent,ds_reference,new_zealand_ministry_for_the_environment_environment_2007,
hab_saltmarsh_health,ds_reference,bridgham_carbon_2006,
hab_saltmarsh_health,ds_reference,dahl_status_2011,
hab_saltmarsh_health,ds_reference,eionet_european_environment_agency_eea_eu_2008,
hab_saltmarsh_health,ds_reference,joint_nature_conservation_committee_common_2004,
hab_saltmarsh_health,ds_reference,new_zealand_ministry_for_the_environment_environment_2007,
hab_saltmarsh_trend,ds_reference,bridgham_carbon_2006,
hab_saltmarsh_trend,ds_reference,dahl_status_2011,
hab_saltmarsh_trend,ds_reference,eionet_european_environment_agency_eea_eu_2008,
hab_saltmarsh_trend,ds_reference,joint_nature_conservation_committee_common_2004,
hab_saltmarsh_trend,ds_reference,new_zealand_ministry_for_the_environment_environment_2007,
hab_seagrass_extent,ds_reference,unep-wcmc_global_2005,short_global_2018
hab_seagrass_health,ds_reference,hemminga_seagrass_2000,
hab_seagrass_health,ds_reference,waycott_accelerating_2009,
hab_seagrass_trend,ds_reference,short_extinction_2011,
hab_seagrass_trend,ds_reference,waycott_accelerating_2009,
hab_seaice_extent,ds_reference,cavalieri_sea_1996,cavalieri_seaice_1996
hab_seaice_health,ds_reference,cavalieri_sea_1996,cavalieri_seaice_1996
hab_seaice_trend,ds_reference,cavalieri_sea_1996,cavalieri_seaice_1996
hab_softbottom_extent,ds_reference,halpern_global_2008,
hab_softbottom_health,ds_reference,watson_mapping_2018,
hab_softbottom_trend,ds_reference,watson_mapping_2018,
hd_habitat,ds_reference,convention_on_biological_diversity_3rd_2005,
hd_intertidal,ds_reference,center_for_international_earth_science_information_network-ciesin-columbia_university_gridded_2017,errors in raster fixed but I think data are the same? 
hd_mpa_coast,ds_reference,lewis_large-scale_2017,
hd_mpa_coast,ds_reference,unep-wcmc_and_iucn_protected_2018,unep-wcmc_and_iucn_protected_2019
hd_mpa_eez,ds_reference,,
hd_mpa_eez,ds_reference,unep-wcmc_and_iucn_protected_2018,unep-wcmc_and_iucn_protected_2019
hd_subtidal_hb,ds_reference,burke_reefs_2011,
hd_subtidal_sb,ds_reference,halpern_global_2008,
hd_subtidal_sb,ds_reference,watson_mapping_2018,
ico_spp_iucn_status,ds_reference,halpern_index_2012,
ico_spp_iucn_status,ds_reference,iucn_iucn_2018,iucn_iucn_2019
le_sector_weight,ds_reference,edf_france_electricite_2011,
le_sector_weight,ds_reference,oconnor_whale_2009,
le_sector_weight,ds_reference,thorbourne_annopolis_2011,
le_sector_weight,ds_reference,united_nations_personal_communication_fao_2011,
le_sector_weight,ds_reference,wttc_world_2013,
li_gci,ds_reference,schwab_global_2017,
li_sector_evenness,ds_reference,edf_france_electricite_2011,
li_sector_evenness,ds_reference,oconnor_whale_2009,
li_sector_evenness,ds_reference,thorbourne_annopolis_2011,
li_sector_evenness,ds_reference,wttc_world_2013,
li_sector_evenness,ds_reference,united_nations_personal_communication_fao_2011,
liv_status,ds_reference,edf_france_electricite_2011,
liv_status,ds_reference,kaufmann_worldwide_2010,
liv_status,ds_reference,oconnor_whale_2009,
liv_status,ds_reference,oostendorp_occupational_2012,
liv_status,ds_reference,thorbourne_annopolis_2011,
liv_status,ds_reference,united_nations_personal_communication_fao_2011,
liv_status,ds_reference,world_bank_gdp_2017,
liv_status,ds_reference,world_bank_labor_2014,
liv_status,ds_reference,wttc_world_2013,
liv_status,ds_reference,world_bank_population_2016,
liv_trend,ds_reference,edf_france_electricite_2011,
liv_trend,ds_reference,kaufmann_worldwide_2010,
liv_trend,ds_reference,oconnor_whale_2009,
liv_trend,ds_reference,oostendorp_occupational_2012,
liv_trend,ds_reference,thorbourne_annopolis_2011,
liv_trend,ds_reference,united_nations_personal_communication_fao_2011,
liv_trend,ds_reference,world_bank_labor_2014,
liv_trend,ds_reference,world_bank_unemployment_2014,
liv_trend,ds_reference,wttc_world_2013,
liv_trend,ds_reference,world_bank_population_2016,
lsp_prot_area_inland1km,ds_reference,lewis_large-scale_2017,
lsp_prot_area_inland1km,ds_reference,unep-wcmc_and_iucn_protected_2018,unep-wcmc_and_iucn_protected_2019
lsp_prot_area_offshore3nm,ds_reference,lewis_large-scale_2017,
lsp_prot_area_offshore3nm,ds_reference,unep-wcmc_and_iucn_protected_2018,unep-wcmc_and_iucn_protected_2019
mar_harvest_tonnes,ds_reference,united_nations_fao_2018-1,united_nations_fao_2019
mar_sustainability_score,ds_reference,trujillo_using_2008,
mar_capacity,ds_reference,gentry_exploring_2019,
NP calculation (exposure),ds_reference,halpern_global_2008,
np_blast,ds_reference,burke_reefs_2011,
np_cyanide,ds_reference,burke_reefs_2011,
np_harvest_product_weight,ds_reference,united_nations_fao_2017,un-fao_fao_2019
np_harvest_tonnes,ds_reference,united_nations_fao_2017,un-fao_fao_2019
np_harvest_tonnes_relative,ds_reference,united_nations_fao_2017,un-fao_fao_2019
po_chemicals,ds_reference,halpern_global_2008,
po_chemicals,ds_reference,halpern_spatial_2015,
po_chemicals,ds_reference,homer_development_2004,
po_chemicals,ds_reference,united_nations_fao_2016-2,
po_chemicals_3nm,ds_reference,halpern_global_2008,
po_chemicals_3nm,ds_reference,halpern_spatial_2015,
po_chemicals_3nm,ds_reference,homer_development_2004,
po_chemicals_3nm,ds_reference,united_nations_fao_2016-2,
po_nutrients,ds_reference,halpern_global_2008,
po_nutrients,ds_reference,halpern_spatial_2015,
po_nutrients,ds_reference,homer_development_2004,
po_nutrients,ds_reference,united_nations_fao_2017,
po_nutrients_3nm,ds_reference,halpern_global_2008,
po_nutrients_3nm,ds_reference,halpern_spatial_2015,
po_nutrients_3nm,ds_reference,homer_development_2004,
po_nutrients_3nm,ds_reference,united_nations_fao_2017,
po_pathogens,ds_reference,who-unicef_joint_2017,who-unicef_joint_2019
po_trash,ds_reference,eriksen_plastic_2014,
po_water,ds_reference,convention_on_biological_diversity_3rd_2005,
res_spi,ds_reference,social_progress_index_2018_nodate,
res_spi,ds_reference,stern_2018_2018,
rgn_area,ds_reference,claus_marine_2012,
rgn_area,ds_reference,esri_esri_2010,
rgn_area,ds_reference,halpern_index_2012,
rgn_area,ds_reference,halpern_patterns_2015,
rgn_area_inland1km,ds_reference,claus_marine_2012,
rgn_area_inland1km,ds_reference,esri_esri_2010,
rgn_area_inland1km,ds_reference,halpern_index_2012,
rgn_area_inland1km,ds_reference,halpern_patterns_2015,
rgn_area_offshore3nm,ds_reference,claus_marine_2012,
rgn_area_offshore3nm,ds_reference,esri_esri_2010,
rgn_area_offshore3nm,ds_reference,halpern_index_2012,
rgn_area_offshore3nm,ds_reference,halpern_patterns_2015,
rgn_global,ds_reference,claus_marine_2012,
rgn_global,ds_reference,esri_esri_2010,
rgn_global,ds_reference,halpern_index_2012,
rgn_global,ds_reference,halpern_patterns_2015,
rgn_labels,ds_reference,claus_marine_2012,
rgn_labels,ds_reference,esri_esri_2010,
rgn_labels,ds_reference,halpern_index_2012,
rgn_labels,ds_reference,halpern_patterns_2015,
sp_alien,ds_reference,molnar_assessing_2008,
sp_alien_species,ds_reference,convention_on_biological_diversity_3rd_2005,
sp_genetic,ds_reference,trujillo_using_2008,
species_diversity_3nm,ds_reference,iucn_iucn_2018-1,iucn_spatial_2019
species_diversity_3nm,ds_reference,iucn_iucn_2018,iucn_iucn_2019
species_diversity_3nm,ds_reference,birdlife_international_bird_2017,birdlife_international_bird_2018
species_diversity_eez,ds_reference,iucn_iucn_2018-1,iucn_spatial_2019
species_diversity_eez,ds_reference,iucn_iucn_2018,iucn_iucn_2019
species_diversity_eez,ds_reference,birdlife_international_bird_2017,birdlife_international_bird_2018
spp_status,ds_reference,iucn_iucn_2018-1,iucn_spatial_2019
spp_status,ds_reference,iucn_iucn_2018,iucn_iucn_2019
spp_status,ds_reference,birdlife_international_bird_2017,birdlife_international_bird_2018
spp_trend,ds_reference,iucn_iucn_2018-1,iucn_spatial_2019
spp_trend,ds_reference,iucn_iucn_2018,iucn_iucn_2019
spp_trend,ds_reference,birdlife_international_bird_2017,birdlife_international_bird_2018
ss_spi,ds_reference,social_progress_index_2018_nodate,
ss_spi,ds_reference,stern_2018_2018,
ss_wgi,ds_reference,kaufmann_worldwide_2010,
ss_wgi,ds_reference,world_bank_worldwide_2018,worldbank_worldwide_2018
tr_jobs_pct_tourism,ds_reference,wttc_world_2017,wttc_world_2019
tr_sustainability,ds_reference,crotti_travel_2017,
tr_travelwarnings,ds_reference,,government_of_canada_travel_2019
tr_travelwarnings,ds_reference,us_department_of_state_travel_2018,us_department_of_state_travel_2019
uninhabited,ds_reference,wikipedia_notitle_nodate,
wgi_all,ds_reference,kaufmann_worldwide_2010,
ao_access,methods_update,,
ao_need,methods_update,additional year of data,additional year of GDP data (2018)
cc_acid,methods_update,additional year of data (projected),
cc_slr,methods_update,additional year of data,additional year of data (2018)
cc_sst,methods_update,several additional years of data,data not updated
cc_uv,methods_update,additional year of data; gapfill missing data in time series,additional year of data
cw_chemical_trend,methods_update,,
cw_nutrient_trend,methods_update,,
cw_pathogen_trend,methods_update,Data source changed (but no additional year of data); improved gapfilling and small change to reference point,two additional years of data (2016 & 2017)
cw_trash_trend,methods_update,,
eco_status,methods_update,"eliminated calculation, now just provide results as placeholder (not updated since 2013)",
eco_trend,methods_update,"eliminated calculation, now just provide results as placeholder (not updated since 2013)",
element_wts_cp_km2_x_protection,methods_update,,
element_wts_cs_km2_x_storage,methods_update,,
element_wts_hab_pres_abs,methods_update,,
fis_b_bmsy,methods_update,additional year of data,"additional year added to Watson (2019 v3 to v4); not a new paper, but data version is updated"
fis_meancatch,methods_update,New data source (Watson 2018),"additional year added to Watson (2019 v3 to v4); not a new paper, but data version is updated"
fp_art_hb,methods_update,New data source (Watson 2018); adapted methods to new data,"additional year added to Watson (2019 v3 to v4); not a new paper, but data version is updated"
fp_art_lb,methods_update,New data source (Watson 2018); adapted methods to new data,"additional year added to Watson (2019 v3 to v4); not a new paper, but data version is updated"
fp_com_hb,methods_update,New data source (Watson 2018); adapted methods to new data,"additional year added to Watson (2019 v3 to v4); not a new paper, but data version is updated"
fp_com_lb,methods_update,New data source (Watson 2018); adapted methods to new data,"additional year added to Watson (2019 v3 to v4); not a new paper, but data version is updated"
fp_habitat,methods_update,,
fp_fish_management,methods_update,,New data source: Melnychuk et al. (2017) fisheries management index data
fp_mora_artisanal,methods_update,,
fp_mpa_coast,methods_update,additional year of data,additional year of data (2019)
fp_mpa_eez,methods_update,additional year of data,additional year of data (2019)
fp_targetharvest,methods_update,additional year of data,additional year of FAO data (2017)
fp_wildcaught_weight,methods_update,additional year of data,
g_cites,methods_update,,
g_mariculture,methods_update,,
g_msi_gov,methods_update,,
g_tourism,methods_update,,
hab_coral_extent,methods_update,,UNEP data updated to version 4 (had not been updated since 2012)
hab_coral_health,methods_update,,TBD
hab_coral_trend,methods_update,,TBD
hab_mangrove_extent,methods_update,,
hab_mangrove_health,methods_update,,
hab_mangrove_trend,methods_update,,
hab_rockyreef_extent,methods_update,,
hab_saltmarsh_extent,methods_update,,UNEP data updated to version 6 (had not been updated since 2012)
hab_saltmarsh_health,methods_update,,TBD
hab_saltmarsh_trend,methods_update,,TBD
hab_seagrass_extent,methods_update,,UNEP data updated to version 6 (had not been updated since 2012)
hab_seagrass_health,methods_update,,PNAS data? TBD
hab_seagrass_trend,methods_update,,TBD
hab_seaice_extent,methods_update,,additional year of data (2019)
hab_seaice_health,methods_update,additional year of data,additional year of data (2019)
hab_seaice_trend,methods_update,additional year of data,additional year of data (2019)
hab_softbottom_health,methods_update,additional year of data; adapted methods to new data format,
hab_softbottom_trend,methods_update,additional year of data; adapted methods to new data format,
hd_habitat,methods_update,,
hd_intertidal,methods_update,additional year of data,"same UN pop data, but fixed errors in inland raster"
hd_mpa_coast,methods_update,additional year of data,additional year of data
hd_mpa_eez,methods_update,additional year of data,additional year of data
hd_subtidal_hb,methods_update,,
hd_subtidal_sb,methods_update,additional year of data; adapted methods to new data format,
ico_spp_iucn_status,methods_update,additional year of data; improved trend calculation,additional year of data (2019)
le_sector_weight,methods_update,,
li_gci,methods_update,additional year of data,
li_sector_evenness,methods_update,,
liv_status,methods_update,"eliminated calculation, now just provide results as placeholder (not updated since 2013)",
liv_trend,methods_update,"eliminated calculation, now just provide results as placeholder (not updated since 2013)",
lsp_prot_area_inland1km,methods_update,additional year of data,additional year of data
lsp_prot_area_offshore3nm,methods_update,additional year of data,additional year of data
