spp_group_text,n_spp,quad,n_quad,pct_quad,pct_q1,quad_name
Butterflyfish,116,q4,18,0.15517241379310345,0.1724137931034483,poorly aligned
Combtooth Blennies,269,q4,79,0.2936802973977695,0.12639405204460966,poorly aligned
Cone snails,126,q4,25,0.1984126984126984,0.03968253968253968,poorly aligned
Corals,394,q4,21,0.0532994923857868,0.22081218274111675,poorly aligned
Damselfish,48,q4,7,0.14583333333333334,0.1875,poorly aligned
Groupers,136,q4,14,0.10294117647058823,0.40441176470588236,poorly aligned
Lobsters,158,q4,59,0.37341772151898733,0.18354430379746836,poorly aligned
Marine Mammals,105,q4,2,0.01904761904761905,0.7238095238095238,poorly aligned
Pufferfish,113,q4,23,0.20353982300884957,0.17699115044247787,poorly aligned
Reptiles,27,q4,1,0.037037037037037035,0.2962962962962963,poorly aligned
Seabreams/Porgies,92,q4,13,0.14130434782608695,0.43478260869565216,poorly aligned
Sea Cucumbers,44,q4,9,0.20454545454545456,0.09090909090909091,poorly aligned
Surgeons/Tangs/Unicornfish,77,q4,15,0.19480519480519481,0.11688311688311688,poorly aligned
Tunas/Billfish,59,q4,2,0.03389830508474576,0.4745762711864407,poorly aligned
Wrasses,472,q4,133,0.2817796610169492,0.1673728813559322,poorly aligned
Mangroves,2,q4,0,0,0,poorly aligned
Sea grasses,6,q4,0,0,0,poorly aligned
Terr. Mammals,2,q4,1,0.5,0,poorly aligned
