sciname,fbname,common
Stenella frontalis,Atlantic spotted dolphin,Atlantic Spotted Dolphin
Stenella longirostris,spinner dolphin,Spinner Dolphin
Steno bredanensis,rough-toothed dolphin,Rough-Toothed Dolphin
Takifugu niphobles,null,Null
Takifugu poecilonotus,null,Null
Takifugu xanthopterus,Yellowfin pufferfish,Yellowfin Pufferfish
Tasmacetus shepherdi,Shepherd's beaked whale,Shepherd's Beaked Whale
Thalassoma ascensionis,Greenfish,Greenfish
Thunnus alalunga,Albacore,Albacore
Thunnus albacares,Yellowfin tuna,Yellowfin Tuna
Thunnus maccoyii,Southern bluefin tuna,Southern Bluefin Tuna
Thunnus obesus,Bigeye tuna,Bigeye Tuna
Thunnus thynnus,Atlantic bluefin tuna,Atlantic Bluefin Tuna
Torquigener brevipinnis,null,Null
Trichechus manatus,West Indian manatee,West Indian Manatee
Tursiops truncatus,bottlenose dolphin,Bottlenose Dolphin
Xiphias gladius,Swordfish,Swordfish
Ziphius cavirostris,Cuvier's beaked whale,Cuvier's Beaked Whale
Dermatolepis inermis,Marbled grouper,Marbled Grouper
Cephalopholis boenak,Chocolate hind,Chocolate Hind
Cromileptes altivelis,Humpback grouper,Humpback Grouper
Indopacetus pacificus,longman's beaked whale,Longman's Beaked Whale
Arctocephalus forsteri,New Zealand fur seal,New Zealand Fur Seal
Zalophus californianus,California sea lion,California Sea Lion
Zalophus wollebaeki,Galapagos sea lion,Galapagos Sea Lion
Histriophoca fasciata,ribbon seal,Ribbon Seal
Pagophilus groenlandicus,harp seal,Harp Seal
Pusa hispida,ringed seal,Ringed Seal
Eubalaena japonica,North Pacific right whale,North Pacific Right Whale
Eubalaena glacialis,North Atlantic right whale,North Atlantic Right Whale
Tursiops aduncus,Indian Ocean bottlenose dolphin,Indian Ocean Bottlenose Dolphin
Phocoena dioptrica,spectacled porpoise,Spectacled Porpoise
Physeter macrocephalus,sperm whale,Sperm Whale
Mesoplodon perrini,Perrin's beaked whale,Perrin's Beaked Whale
Mesoplodon traversii,spade-toothed beaked whale,Spade-Toothed Beaked Whale
Epinephelus akaara,Hong Kong grouper,Hong Kong Grouper
Dermatolepis striolata,Smooth grouper,Smooth Grouper
Epinephelus fuscoguttatus,Brown-marbled grouper,Brown-Marbled Grouper
Epinephelus coioides,Orange-spotted grouper,Orange-Spotted Grouper
Hyporthodus quernus,Hawaiian grouper,Hawaiian Grouper
Epinephelus albomarginatus,White-edged grouper,White-Edged Grouper
Epinephelus morio,Red grouper,Red Grouper
Mycteroperca tigris,Tiger grouper,Tiger Grouper
Mycteroperca venenosa,Yellowfin grouper,Yellowfin Grouper
Plectropomus leopardus,Leopard coralgrouper,Leopard Coralgrouper
Epinephelus cifuentesi,Olive grouper,Olive Grouper
Epinephelus awoara,Yellow grouper,Yellow Grouper
Epinephelus daemelii,Saddletail grouper,Saddletail Grouper
Epinephelus malabaricus,Malabar grouper,Malabar Grouper
Epinephelus polyphekadion,Camouflage grouper,Camouflage Grouper
Bolbometopon muricatum,Green humphead parrotfish,Green Humphead Parrotfish
Epinephelus bruneus,Longtooth grouper,Longtooth Grouper
Hyporthodus flavolimbatus,Yellowedge grouper,Yellowedge Grouper
Epinephelus timorensis,Yellowspotted grouper,Yellowspotted Grouper
Epinephelus tuamotuensis,Reticulate grouper,Reticulate Grouper
Epinephelus undulatostriatus,Maori grouper,Maori Grouper
Mycteroperca interstitialis,Yellowmouth grouper,Yellowmouth Grouper
Plectropomus areolatus,Squaretail coralgrouper,Squaretail Coralgrouper
Plectropomus laevis,Blacksaddled coralgrouper,Blacksaddled Coralgrouper
Epinephelus aeneus,White grouper,White Grouper
Epinephelus maculatus,Highfin grouper,Highfin Grouper
Cephalopholis aurantia,Golden hind,Golden Hind
Epinephelus flavocaeruleus,Blue-and-yellow grouper,Blue-and-Yellow Grouper
Paranthias furcifer,Creole-fish,Creole-Fish
Epinephelus summana,Summan grouper,Summan Grouper
Mycteroperca phenax,Scamp,Scamp
Hyporthodus acanthistius,Rooster hind,Rooster Hind
Cephalopholis miniata,Coral hind,Coral Hind
Cephalopholis panamensis,Pacific graysby,Pacific Graysby
Hyporthodus niphobles,Star-studded grouper,Star-Studded Grouper
Epinephelus latifasciatus,Striped grouper,Striped Grouper
Epinephelus rivulatus,Halfmoon grouper,Halfmoon Grouper
Cephalopholis leopardus,Leopard hind,Leopard Hind
Variola louti,Yellow-edged lyretail,Yellow-Edged Lyretail
Epinephelus undulosus,Wavy-lined grouper,Wavy-Lined Grouper
Cephalopholis sexmaculata,Sixblotch hind,Sixblotch Hind
Cephalopholis nigri,Niger hind,Niger Hind
Cephalopholis formosa,Bluelined hind,Bluelined Hind
Epinephelus morrhua,Comet grouper,Comet Grouper
Epinephelus melanostigma,One-blotch grouper,One-Blotch Grouper
Epinephelus spilotoceps,Foursaddle grouper,Foursaddle Grouper
Epinephelus longispinis,Longspine grouper,Longspine Grouper
Epinephelus stictus,Black-dotted grouper,Black-Dotted Grouper
Epinephelus coeruleopunctatus,Whitespotted grouper,Whitespotted Grouper
Epinephelus bilobatus,Twinspot grouper,Twinspot Grouper
Epinephelus polylepis,Smallscaled grouper,Smallscaled Grouper
Alphestes immaculatus,Pacific mutton hamlet,Pacific Mutton Hamlet
Epinephelus radiatus,Oblique-banded grouper,Oblique-Banded Grouper
Epinephelus miliaris,Netfin grouper,Netfin Grouper
Cephalopholis sonnerati,Tomato hind,Tomato Hind
Epinephelus tauvina,Greasy grouper,Greasy Grouper
Cephalopholis hemistiktos,Yellowfin hind,Yellowfin Hind
Epinephelus faveatus,Barred-chest grouper,Barred-Chest Grouper
Cephalopholis cruentata,Graysby,Graysby
Epinephelus costae,Goldblotch grouper,Goldblotch Grouper
Epinephelus corallicola,Coral grouper,Coral Grouper
Alphestes afer,Mutton hamlet,Mutton Hamlet
Epinephelus goreensis,Dungat grouper,Dungat Grouper
Epinephelus macrospilos,Snubnose grouper,Snubnose Grouper
Dermatolepis dermatolepis,Leather bass,Leather Bass
Epinephelus fasciatomaculosus,Rock grouper,Rock Grouper
Gonioplectrus hispanus,Spanish flag,Spanish Flag
Hyporthodus octofasciatus,Eightbar grouper,Eightbar Grouper
Epinephelus tukula,Potato grouper,Potato Grouper
Epinephelus areolatus,Areolate grouper,Areolate Grouper
Plectropomus pessuliferus,Roving coralgrouper,Roving Coralgrouper
Plectropomus oligacanthus,Highfin coralgrouper,Highfin Coralgrouper
Epinephelus diacanthus,Spinycheek grouper,Spinycheek Grouper
Epinephelus hexagonatus,Starspotted grouper,Starspotted Grouper
Cephalopholis oligosticta,Vermilion hind,Vermilion Hind
Epinephelus sexfasciatus,Sixbar grouper,Sixbar Grouper
Cephalopholis argus,Peacock hind,Peacock Hind
Cephalopholis aitha,Rusty hind,Rusty Hind
Cephalopholis urodeta,Darkfin hind,Darkfin Hind
Epinephelus magniscuttis,Speckled grouper,Speckled Grouper
Epinephelus erythrurus,Cloudy grouper,Cloudy Grouper
Cephalopholis nigripinnis,Blackfin grouper,Blackfin Grouper
Anyperodon leucogrammicus,Slender grouper,Slender Grouper
Epinephelus merra,Honeycomb grouper,Honeycomb Grouper
Cephalopholis microprion,Freckled hind,Freckled Hind
Triso dermopterus,Oval grouper,Oval Grouper
Cephalopholis igarashiensis,Garish hind,Garish Hind
Epinephelus stoliczkae,Epaulet grouper,Epaulet Grouper
Epinephelus retouti,Red-tipped grouper,Red-Tipped Grouper
Hyporthodus ergastularius,Sevenbar grouper,Sevenbar Grouper
Epinephelus caninus,Dogtooth grouper,Dogtooth Grouper
Epinephelus heniochus,Bridled grouper,Bridled Grouper
Epinephelus quoyanus,Longfin grouper,Longfin Grouper
Gracila albomarginata,Masked grouper,Masked Grouper
Plectropomus punctatus,Marbled coralgrouper,Marbled Coralgrouper
Epinephelus poecilonotus,Dot-dash grouper,Dot-Dash Grouper
Cephalopholis polyspila,null,Null
Epinephelus ongus,White-streaked grouper,White-Streaked Grouper
Cephalopholis polleni,Harlequin hind,Harlequin Hind
Cephalopholis fulva,Coney,Coney
Hyporthodus septemfasciatus,Convict grouper,Convict Grouper
Cephalopholis cyanostigma,Bluespotted hind,Bluespotted Hind
Variola albimarginata,White-edged lyretail,White-Edged Lyretail
Mycteroperca xenarcha,Broomtail grouper,Broomtail Grouper
Epinephelus amblycephalus,Banded grouper,Banded Grouper
Epinephelus bontoides,Palemargin grouper,Palemargin Grouper
Epinephelus cyanopodus,Speckled blue grouper,Speckled Blue Grouper
Saloptia powelli,Golden grouper,Golden Grouper
Epinephelus fasciatus,Blacktip grouper,Blacktip Grouper
Plectropomus maculatus,Spotted coralgrouper,Spotted Coralgrouper
Epinephelus adscensionis,Rock hind,Rock Hind
Cephalopholis taeniops,Bluespotted seabass,Bluespotted Seabass
Paranthias colonus,Pacific creole-fish,Pacific Creole-Fish
Epinephelus chlorostigma,Brownspotted grouper,Brownspotted Grouper
Cephalopholis spiloparaea,Strawberry hind,Strawberry Hind
Epinephelus bleekeri,Duskytail grouper,Duskytail Grouper
Hyporthodus mystacinus,Misty grouper,Misty Grouper
Hyporthodus haifensis,Haifa grouper,Haifa Grouper
Epinephelus howlandi,Blacksaddle grouper,Blacksaddle Grouper
Mycteroperca acutirostris,Comb grouper,Comb Grouper
Oulastrea crispata,null,Null
Psammocora stellata,null,Null
Acropora prostrata,null,Null
Montipora angulata,null,Null
Acropora florida,branch coral,Branch Coral
Pectinia elongata,null,Null
Scolymia lacera,Atlantic mushroom coral,Atlantic Mushroom Coral
Pocillopora kelleheri,null,Null
Leptoseris tubulifera,null,Null
Fungia fralinae,null,Null
Favia maxima,null,Null
Pavona venosa,null,Null
Goniastrea australensis,lesser star coral,Lesser Star Coral
Colpophyllia natans,boulder brain coral,Boulder Brain Coral
Leptoseris hawaiiensis,porcelain coral,Porcelain Coral
Acropora seriata,null,Null
Montipora hodgsoni,null,Null
Favia veroni,null,Null
Symphyllia radians,null,Null
Fungia puishani,null,Null
Leptoseris solida,null,Null
Acropora irregularis,null,Null
Acropora rosaria,null,Null
Acropora turaki,null,Null
Pavona maldivensis,null,Null
Siderastrea stellata,null,Null
Turbinaria irregularis,null,Null
Gardineroseris planulata,honeycomb coral,Honeycomb Coral
Montastrea curta,NA,"NA"
Pocillopora woodjonesi,null,Null
Leptoseris striata,null,Null
Pectinia lactuca,lettuce coral,Lettuce Coral
Acropora willisae,null,Null
Acropora carduus,null,Null
Acropora plumosa,null,Null
Favia pallida,NA,"NA"
Acropora acuminata,null,Null
Indophyllia macassarensis,null,Null
Montipora patula,null,Null
Porites colonensis,honeycomb plate coral,Honeycomb Plate Coral
Acropora lianae,null,Null
Acropora macrostoma,null,Null
Turbinaria bifrons,null,Null
Symphyllia erythraea,null,Null
Manicina areolata,rose coral,Rose Coral
Euphyllia yaeyamaensis,null,Null
Halomitra clavator,null,Null
Acropora listeri,null,Null
Agaricia lamarcki,Lamarck's sheet coral,Lamarck's Sheet Coral
Acropora paniculata,null,Null
Plerogyra discus,null,Null
Montipora stilosa,null,Null
Leptoria phrygia,null,Null
Leptastrea bottae,null,Null
Acropora derawanensis,null,Null
Echinopora gemmacea,null,Null
Acropora longicyathus,null,Null
Acropora multiacuta,white Acropora,White Acropora
Coscinaraea crassa,null,Null
Acropora humilis,finger coral,Finger Coral
Fungia seychellensis,null,Null
Acropora ocellata,null,Null
Seriatopora stellata,null,Null
Leptastrea bewickensis,null,Null
Simplastrea vesicularis,null,Null
Acropora palmata,elkhorn coral,Elkhorn Coral
Montipora malampaya,null,Null
Fungia spinifer,null,Null
Pocillopora ankeli,null,Null
Acropora grandis,null,Null
Acropora minuta,null,Null
Acropora tenuis,null,Null
Porites lichen,lichen coral,Lichen Coral
Merulina scabricula,crispy crust coral,Crispy Crust Coral
Acropora vaughani,null,Null
Mycedium mancaoi,null,Null
Favia rotumana,null,Null
Montipora effusa,null,Null
Lobophyllia flabelliformis,null,Null
Acropora pulchra,null,Null
Fungia fragilis,NA,"NA"
Mycetophyllia reesi,ridgeless cactus coral,Ridgeless Cactus Coral
Porites nigrescens,null,Null
Psammocora digitata,null,Null
Pocillopora ligulata,null,Null
Anacropora spinosa,null,Null
Scolymia cubensis,artichoke coral,Artichoke Coral
Favites halicora,null,Null
Euphyllia paradivisa,null,Null
Echinophyllia echinata,null,Null
Platygyra verweyi,null,Null
Montipora florida,null,Null
Montipora informis,null,Null
Montastrea colemani,montastrea coral,Montastrea Coral
Montipora foliosa,null,Null
Lobophyllia robusta,lobed cactus coral,Lobed Cactus Coral
Acropora kirstyae,null,Null
Porites lutea,null,Null
Barabattoia amicorum,basket coral,Basket Coral
Acropora subglabra,null,Null
Echinopora lamellosa,null,Null
Echinophyllia patula,null,Null
Leptastrea purpurea,null,Null
Astreopora incrustans,null,Null
Psammocora nierstraszi,null,Null
Porites columnaris,null,Null
Pocillopora danae,null,Null
Pocillopora elegans,null,Null
Agaricia undata,scroll coral,Scroll Coral
Dichocoenia stokesii,NA,"NA"
Acanthastrea hillae,null,Null
Galaxea acrhelia,null,Null
Ctenactis crassa,null,Null
Montipora saudii,null,Null
Acropora caroliniana,null,Null
Montipora cactus,null,Null
Acropora retusa,null,Null
Acropora latistella,null,Null
Siderastrea glynni,null,Null
Acropora plantaginea,null,Null
Dendrogyra cylindrus,pillar coral,Pillar Coral
Acropora fenneri,null,Null
Symphyllia valenciennesii,null,Null
Acropora pruinosa,null,Null
Astreopora ocellata,null,Null
Montipora friabilis,null,Null
Acropora aspera,green staghorn coral,Green Staghorn Coral
Acropora abrolhosensis,null,Null
Montastraea annularis,Carribean star coral,Carribean Star Coral
Isopora palifera,catch bowl coral,Catch Bowl Coral
Cladocora caespitosa,null,Null
Millepora alcicornis,fire coral,Fire Coral
Stylocoeniella cocosensis,null,Null
Ctenactis echinata,rough feather coral,Rough Feather Coral
Favia lacuna,null,Null
Lobophyllia pachysepta,null,Null
Scolymia vitiensis,null,Null
Podabacia crustacea,bracket coral,Bracket Coral
Acropora austera,null,Null
Platygyra contorta,null,Null
Oculina varicosa,fused ivory tree coral,Fused Ivory Tree Coral
Stylophora mamillata,null,Null
Echinophyllia aspera,flat lettuce coral,Flat Lettuce Coral
Montipora efflorescens,null,Null
Coscinaraea exesa,null,Null
Turbinaria patula,disc coral,Disc Coral
Montastrea annuligera,NA,"NA"
Isopora brueggemanni,null,Null
Fungia granulosa,null,Null
Mussismilia hispida,null,Null
Montipora floweri,null,Null
Oxypora glabra,porous lettuce coral,Porous Lettuce Coral
Heliopora coerulea,blue coral,Blue Coral
Montipora digitata,null,Null
Acropora appressa,null,Null
Pocillopora verrucosa,rasp coral,Rasp Coral
Oulophyllia crispa,null,Null
Fungia scutaria,NA,"NA"
Acropora tenella,null,Null
Acropora roseni,null,Null
Favites pentagona,null,Null
Favia speciosa,null,Null
Oculina diffusa,diffuse ivory bush coral,Diffuse Ivory Bush Coral
Lithophyllon undulatum,stone leaf coral,Stone Leaf Coral
Fungia tenuis,null,Null
Porites lobata,lobe coral,Lobe Coral
Meandrina danae,null,Null
Pachyseris foliosa,null,Null
Nemenzophyllia turbida,null,Null
Montipora caliculata,null,Null
Pocillopora damicornis,Cauliflower coral,Cauliflower Coral
Acropora donei,null,Null
Astreopora expansa,null,Null
Diploastrea heliopora,double star coral,Double Star Coral
Acropora kimbeensis,pink-tip Acropora,Pink-Tip Acropora
Galaxea paucisepta,null,Null
Montastraea cavernosa,great star coral,Great Star Coral
Montipora hispida,null,Null
Acropora nasuta,null,Null
Pavona clavus,null,Null
Pavona frondifera,leaf coral,Leaf Coral
Favites flexuosa,null,Null
Acanthastrea echinata,null,Null
Acropora robusta,green robusta,Green Robusta
Acropora digitifera,null,Null
Stylophora wellsi,null,Null
Acropora tortuosa,cali tort,Cali Tort
Blastomussa wellsi,null,Null
Agaricia humilis,low-life lettuce coral,Low-Life Lettuce Coral
Euphyllia glabrescens,brain trumpet coral,Brain Trumpet Coral
Plerogyra sinuosa,rounded bubblegum coral,Rounded Bubblegum Coral
Trachyphyllia geoffroyi,null,Null
Pavona danai,null,Null
Astreopora listeri,starflower coral,Starflower Coral
Micromussa diminuta,null,Null
Heliofungia actiniformis,long tentacle plate coral,Long Tentacle Plate Coral
Acropora sarmentosa,blue sarmentosa,Blue Sarmentosa
Pectinia paeonia,null,Null
Porites australiensis,null,Null
Madracis formosa,eight-ray finger coral,Eight-Ray Finger Coral
Acropora batunai,null,Null
Plesiastrea versipora,null,Null
Euphyllia paraancora,null,Null
Favites abdita,null,Null
Acropora striata,null,Null
Astreopora myriophthalma,null,Null
Montipora turgescens,null,Null
Astreopora gracilis,null,Null
Lobophyllia hataii,null,Null
Montipora verrilli,null,Null
Favia rotundata,null,Null
Fungia scruposa,NA,"NA"
Pocillopora inflata,null,Null
Acropora halmaherae,null,Null
Acropora cytherea,null,Null
Acropora monticulosa,null,Null
Acropora horrida,blue staghorn,Blue Staghorn
Acropora solitaryensis,null,Null
Acropora gemmifera,null,Null
Cyphastrea chalcidicum,null,Null
Acropora lovelli,cats paw,Cats Paw
Porites stephensoni,null,Null
Oulophyllia bennettae,intermediate valley coral,Intermediate Valley Coral
Acropora branchi,null,Null
Merulina ampliata,Merulina coral,Merulina Coral
Symphyllia wilsoni,null,Null
Favites russelli,null,Null
Podabacia sinai,null,Null
Montipora tuberculosa,null,Null
Acropora variolosa,null,Null
Porites compressa,null,Null
Leptoseris mycetoseroides,slender lettuce coral,Slender Lettuce Coral
Acropora gomezi,null,Null
Acropora microclados,strawberry shortcake Acropora,Strawberry Shortcake Acropora
Pavona bipartita,null,Null
Goniastrea edwardsi,null,Null
Acanthastrea lordhowensis,closed brain coral,Closed Brain Coral
Porites profundus,null,Null
Fungia distorta,null,Null
Polyphyllia novaehiberniae,Joker's boomerang coral,Joker's Boomerang Coral
Montipora corbettensis,null,Null
Acanthastrea ishigakiensis,null,Null
Diploria clivosa,knobby brain coral,Knobby Brain Coral
Acropora convexa,null,Null
Acropora cervicornis,staghorn coral,Staghorn Coral
Acanthastrea rotundoflora,null,Null
Acropora globiceps,null,Null
Favia laxa,null,Null
Acropora teres,null,Null
Porites porites,club tip finger coral,Club Tip Finger Coral
Acropora desalwii,null,Null
Pavona varians,null,Null
Eusmilia fastigiata,smooth flower coral,Smooth Flower Coral
Acropora hoeksemai,null,Null
Acropora squarrosa,null,Null
Turbinaria stellulata,null,Null
Caulastrea tumida,null,Null
Psammocora haimeana,encrusting sandpaper coral,Encrusting Sandpaper Coral
Pocillopora eydouxi,NA,"NA"
Coscinaraea wellsi,null,Null
Montipora verruculosus,null,Null
Pachyseris speciosa,null,Null
Gyrosmilia interrupta,null,Null
Goniastrea pectinata,null,Null
Anacropora puertogalerae,null,Null
Montipora circumvallata,porous leaf coral,Porous Leaf Coral
Caulastrea furcata,torch coral,Torch Coral
Lobophyllia hemprichii,null,Null
Montipora grisea,null,Null
Montipora capricornis,null,Null
Fungia horrida,null,Null
Coscinaraea columna,null,Null
Echinopora horrida,null,Null
Acropora spicifera,null,Null
Montipora crassituberculata,null,Null
Seriatopora dendritica,NA,"NA"
Fungia moluccensis,null,Null
Agaricia tenuifolia,thin leaf lettuce coral,Thin Leaf Lettuce Coral
Platygyra pini,null,Null
Oxypora lacera,null,Null
Montipora australiensis,null,Null
Oculina valenciennesi,ivory tree coral,Ivory Tree Coral
Montipora turtlensis,null,Null
Montipora danae,poker star montipora,Poker Star Montipora
Mussa angulosa,large flower coral,Large Flower Coral
Hydnophora microconos,null,Null
Montipora cocosensis,null,Null
Platygyra daedalea,brain coral,Brain Coral
Micromussa amakusensis,null,Null
Symphyllia agaricia,null,Null
Madracis asperula,null,Null
Hydnophora exesa,null,Null
Acropora hyacinthus,brush coral,Brush Coral
Acropora chesterfieldensis,null,Null
Acropora mirabilis,null,Null
Anomastraea irregularis,crisp pillow coral,Crisp Pillow Coral
Astreopora randalli,null,Null
Pectinia africanus,null,Null
Montipora delicatula,null,Null
Porites rus,encrusting Porites,Encrusting Porites
Platygyra ryukyuensis,maze brain coral,Maze Brain Coral
Acropora papillare,null,Null
Galaxea horrescens,null,Null
Caulastrea echinulata,null,Null
Turbinaria peltata,null,Null
Acropora kosurini,null,Null
Psammocora superficialis,null,Null
Porites furcata,branched finger coral,Branched Finger Coral
Podabacia motuporensis,mushroom coral,Mushroom Coral
Oculina patagonica,null,Null
Acropora anthocercis,null,Null
Favia truncatus,null,Null
Stephanocoenia intersepta,null,Null
Helioseris cucullata,null,Null
Montipora monasteriata,null,Null
Mussismilia harttii,null,Null
Blastomussa merleti,null,Null
Stylophora subseriata,club finger coral,Club Finger Coral
Acropora verweyi,null,Null
Pocillopora zelli,null,Null
Agaricia agaricites,purple lettuce coral,Purple Lettuce Coral
Herpolitha limax,striate boomerang coral,Striate Boomerang Coral
Porites brighami,null,Null
Paraclavarina triangularis,null,Null
Acropora yongei,null,Null
Stylocoeniella armata,thorn coral,Thorn Coral
Lobophyllia corymbosa,brain root coral,Brain Root Coral
Montipora spumosa,null,Null
Acanthastrea brevis,starry cup coral,Starry Cup Coral
Goniastrea palauensis,null,Null
Montipora peltiformis,null,Null
Isophyllastrea rigida,NA,"NA"
Scolymia australis,null,Null
Favia favus,head coral,Head Coral
