"targets","layer","dir_2012a","fn_2012a","dir_2013a","fn_2013a","dir_2014a","fn_2014a","dir_2015a","fn_2015a","src_2015a","src_2014a","name","description","citation_nature2012","citation_plos2013","fld_value","units","X2013a_source","children","children_notes","disaggregation.function","updated","still.to.do.with.2013a.file.","derive_function","layer_old","X","ingest","dir_whence_2013a","whence_2013a","clip_n_ship_disag","clip_n_ship_disag_description","uninhabited_expect","fn_nature2012","id_num","id_chr","category","year","value_num","value_chr"
"FP","fp_wildcaught_weight","ohiprep:Global/NCEAS-Fisheries_2014a/data","GL_FP_wildcaught_weight_v2012a_lyr.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","FP_mar_fis_weight_2013a.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","FP_mar_fis_weight_2014a.csv",,,,"Y: done","Fisheries weighting factor","Proportion of wild caught fisheries yield to mariculture yield, based on FAO fisheries statistics.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)","6A","5.2","w_fis","value","2012a","new",,,"U",,,"rn_fp_wildcaught_weight",,TRUE,,,"equal","global weights were applied equally to all regions. ",,,,,,,,
"HAB CS CP","hab_extent","ohiprep:globalprep/hab_combined/v2015/data","habitat_extent_v2015.csv","ohiprep:globalprep/hab_combined/v2015/data","habitat_extent_v2015.csv","ohiprep:globalprep/hab_combined/v2015/data","habitat_extent_v2015.csv","ohiprep:globalprep/hab_combined/v2015/data","habitat_extent_v2015.csv",,"N","Habitat extent","Modeled combined habitat extent","6J",,"km2","km^2","2012a","new",,,"N",,,"rnk_hab_extent",,TRUE,"neptune_data:model/GL-NCEAS-Habitats_v2013a/whence_2013a",,"raster | area_offshore",,,,,,,,,
"HAB CS CP","hab_health","ohiprep:globalprep/hab_combined/v2015/data","habitat_health_2012.csv","ohiprep:globalprep/hab_combined/v2015/data","habitat_health_2013.csv","ohiprep:globalprep/hab_combined/v2015/data","habitat_health_2014.csv","ohiprep:globalprep/hab_combined/v2015/data","habitat_health_2015.csv",,"N","Habitat health","Modeled combined habitat health condition trend","6J",,"health","value","2012a","parent","use same methods as for CP and CS",,"N",,,"rnk_hab_health",,TRUE,"neptune_data:model/GL-NCEAS-Habitats_v2013a/whence_2013a",,"equal","global habitat health was applied equally to all regions. ",,,,,,,,
"HAB CS CP","hab_trend","ohiprep:globalprep/hab_combined/v2015/data","habitat_trend_2012.csv","ohiprep:globalprep/hab_combined/v2015/data","habitat_trend_2013.csv","ohiprep:globalprep/hab_combined/v2015/data","habitat_trend_2014.csv","ohiprep:globalprep/hab_combined/v2015/data","habitat_trend_2015.csv","Yes: sea ice/mangrove","N","Habitat health trend","Modeled combined habitat health trend","6J",,"trend","trend score","2012a","parent",,,"N",,,"rnk_hab_trend",,TRUE,"neptune_data:model/GL-NCEAS-Habitats_v2013a/whence_2013a",,"equal","global trends were applied equally to all regions.",,,,,,,,
"ICO","ico_spp_extinction_status","ohiprep:globalprep/SpeciesDiversity/v2015/data","ico_status.csv","ohiprep:globalprep/SpeciesDiversity/v2015/data","ico_status.csv","ohiprep:globalprep/SpeciesDiversity/v2015/data","ico_status.csv","ohiprep:globalprep/SpeciesDiversity/v2015/data","ico_status.csv","Yes: done",,"IUCN extinction risk category for iconic species","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists 

Data sources:

- [International Union for Conservation of Nature (IUCN)](http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)
","7.27","5.29","category","category",,"new",,,"N",,,"rnk_ico_spp_extinction_status",,TRUE,,,"equal","global status was applied equally to all regions. ",,,,,,,,
"ICO","ico_spp_popn_trend","ohiprep:globalprep/SpeciesDiversity/v2015/data","ico_trend.csv","ohiprep:globalprep/SpeciesDiversity/v2015/data","ico_trend.csv","ohiprep:globalprep/SpeciesDiversity/v2015/data","ico_trend.csv","ohiprep:globalprep/SpeciesDiversity/v2015/data","ico_trend.csv","Yes: done","?","IUCN population trend as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists 

Data sources:

- [International Union for Conservation of Nature (IUCN)](http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)
","7.27","5.29","popn_trend","trend score",,"new",,,"N",,,"rnk_ico_spp_popn_trend",,TRUE,,,"equal","global trends were applied equally to all regions.",,,,,,,,
"LE","ao_ppp","neptune_data:model/GL-WorldBank-Statistics_v2012/data","cntry_wb_ppp_2012a.csv","neptune_data:model/GL-WorldBank-Statistics_v2012/data","cntry_wb_ppp_2013a.csv",,,,,,,"Purchasing power parity as a proxy for subsistence fishing need, by country","Purchasing power parity","6B","5.5","ppp","value","new","new",,"NA (updated data)","U",,,"cny_ao_ppp",,,,,"(not ingested; see column X)",,,"ao_ppp.csv",,"country_id",,"year","ppp",
"LE","eco_rev","neptune_data:model/GL-NCEAS-Livelihoods_v2013a/data","eco_rev_2012a.csv","neptune_data:model/GL-NCEAS-Livelihoods_v2013a/data","eco_rev_2013a.csv","ohiprep:Global/NCEAS-Livelihoods_v2014/data","cntry_rev_2014a.csv",,,,"Y: done","Revenue from marine industries","Statistics on revenue for six marine industries","6F","5.41-4.46","USD","$US",,"new",,"NA (updated data)","U",,,"cnky_eco_rev",,,,,"(not ingested; see column X)",,,"eco_rev.csv",,"country_id","sector","year","usd",
"LE","eco_rev_whence","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","eco_rev_whence.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","eco_rev_whence.csv",,,,,,,"Revenue from marine industries: supporting data","Statistics on revenue for six marine industries: supporting data","6F","5.41-4.46","USD","$US","2012a","coastal_pop",,"NA (updated data)","U",,,"cnky_eco_rev_whence",,,,,"(not ingested; see column X)",,,"eco_rev_whence.csv",,"country_id","whence","year","usd",
"LE","le_gdp","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_gdp.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_gdp.csv",,,,,,,"GDP","Gross Domestic Product (GDP) data (reported in 2012 US dollars) from The World Bank.

Data sources:

- [The World Bank](data.worldbank.org/indicator/NY.GDP.MKTP.CD)
",,,"usd","2010 USD",,,,,,,,,,TRUE,,,"population_inland25km","global GDP data were applied to each region after weighting by each region's coastal population.","NA",,,,,,,
"LE","le_gdp_pc_ppp","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_cntry_gdp_pc_ppp_2013a.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_cntry_gdp_pc_ppp_2013a.csv",,,,,,,"Modeled Livelihoods & Economies data","gross domestic product per person at purchasing power parity","6F",,"usd","USD",,,,,,,,"le_gdp_pc_ppp",,TRUE,,,"population_inland25km",,"NA",,,,,,,
"LE","le_jobs_cur_adj_value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_cur_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_cur_adj_value.csv",,,,,,,"Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"le_jobs_cur_adj_value",,TRUE,,,"population_inland25km",,"NA",,,,,,,
"LE","le_jobs_cur_base_value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_cur_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_cur_base_value.csv",,,,,,,"Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"le_jobs_cur_base_value",,TRUE,,,"population_inland25km",,"NA",,,,,,,
"LE","le_jobs_ref_adj_value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_ref_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_ref_adj_value.csv",,,,,,,"Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"le_jobs_ref_adj_value",,TRUE,,,"population_inland25km",,"NA",,,,,,,
"LE","le_jobs_ref_base_value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_ref_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_ref_base_value.csv",,,,,,,"Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"le_jobs_ref_base_value",,TRUE,,,"population_inland25km",,"NA",,,,,,,
"LE","le_jobs_sector_year","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_eez2012_trend_jobs_sector-year.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_eez2013_trend_jobs_sector-year.csv",,,,,,,"Jobs","gapfilled",,,"value","jobs",,,,,,,,,,TRUE,,,"equal","global trends were applied equally to each region. ","NA",,,,,,,
"LE","le_rev_cur_adj_value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_cur_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_cur_adj_value.csv",,,,,,,"Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"le_rev_cur_adj_value",,TRUE,,,"population_inland25km",,"NA",,,,,,,
"LE","le_rev_cur_base_value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_cur_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_cur_base_value.csv",,,,,,,"Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"le_rev_cur_base_value",,TRUE,,,"population_inland25km",,"NA",,,,,,,
"LE","le_rev_ref_adj_value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_ref_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_ref_adj_value.csv",,,,,,,"Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"le_rev_ref_adj_value",,TRUE,,,"population_inland25km",,"NA",,,,,,,
"LE","le_rev_ref_base_value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_ref_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_ref_base_value.csv",,,,,,,"Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"le_rev_ref_base_value",,TRUE,,,"population_inland25km",,"NA",,,,,,,
"LE","le_rev_sector_year","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_eez2012_trend_rev_sector-year.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_eez2013_trend_rev_sector-year.csv",,,,,,,"Revenue","gapfilled",,,"value","2010 USD",,,,,,,,,,TRUE,,,"equal","global trends were applied equally to each region. ","NA",,,,,,,
"LE","le_revenue_adj","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_revenue_adj.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_revenue_adj.csv",,,,,,,"Modeled Livelihoods & Economies data","adjusted revenue","6F",,"usd","USD",,,,,,,,"le_revenue_adj",,TRUE,,,"population_inland25km",,"NA",,,,,,,
"LE","le_unemployment","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_unemployment.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_unemployment.csv",,,,,,,"Unemployment","gapfilled",,,"percent","percent unemployed",,,,,,,,,,TRUE,,,"equal","global unemployment percentages were applied equally to each region. ","NA",,,,,,,
"LE","le_wage_cur_adj_value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_cur_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_cur_adj_value.csv",,,,,,,"Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"le_wage_cur_adj_value",,TRUE,,,"equal","global wage data were applied equally to all regions.","NA",,,,,,,
"LE","le_wage_cur_base_value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_cur_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_cur_base_value.csv",,,,,,,"Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"le_wage_cur_base_value",,TRUE,,,"equal","global wage data were applied equally to all regions.","NA",,,,,,,
"LE","le_wage_ref_adj_value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_ref_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_ref_adj_value.csv",,,,,,,"Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"le_wage_ref_adj_value",,TRUE,,,"equal","global wage data were applied equally to all regions.","NA",,,,,,,
"LE","le_wage_ref_base_value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_ref_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_ref_base_value.csv",,,,,,,"Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"le_wage_ref_base_value",,TRUE,,,"equal","global wage data were applied equally to all regions.","NA",,,,,,,
"LE","le_wage_sector_year","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_eez2012_trend_wage_sector-year.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_eez2013_trend_wage_sector-year.csv",,,,,,,"Wages","gapfilled",,,"value","2010 USD",,,,,,,,,,TRUE,,,"equal","global wages were applied equally to each region. ","NA",,,,,,,
"LE","le_workforcesize_adj","ohiprep:Global/WorldBank-Statistics_v2012/data","cntry_wb_tlf_2012a_ratio-gapfilled.csv","ohiprep:Global/WorldBank-Statistics_v2012/data","cntry_wb_tlf_2013a_ratio-gapfilled.csv","ohiprep:Global/WorldBank-Statistics_v2012/data","cntry_wb_tlf_2014a_ratio-gapfilled.csv",,,,"Y: done","Modeled Livelihoods & Economies data","adjusted workforce size","6F",,"jobs","jobs",,,,,,,,"le_workforcesize_adj",,TRUE,,,"population_inland25km","global workforce data were applied to each region after weighting by each region's coastal population.","NA",,,,,,,
"LE","liv_jobs","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_jobs.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_jobs.csv","ohiprep:Global/NCEAS-Livelihoods_v2014/data","cntry_jobs_2014a.csv",,,,"Y: done","Jobs in marine industries","Statistics on job counts for five marine industries","6F","5.35-5.39","jobs","jobs","2012a","coastal_pop",,"NA (updated data)","N",,,"cnky_liv_jobs",,,,,"(not ingested; see column X)",,,"liv_jobs.csv",,"country_id","sector","year","jobs",
"LE","liv_wages","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_wages.csv","neptune_data:model/GL-NBER-OWW_v2008/data","rgn_nber_oww_2013_nofill.csv",,,,,,"N","Wages adjusted by sector","Wages adjusted by sector","6F","5.48","USD","$US","new","parent",,"NA (updated data)","U","like nature2012 file, 2012a and 2013a files are not temporally or spatially gapfilled (but it has been passed through na.omit) Assuming that any gapfilling occurs later. 2012a has 34 unique rgn_id's and 2013a has 39.",,"cnky_liv_wages",,,,,"(not ingested; see column X)",,,"liv_wages.csv",,"country_id","sector","year","usd",
"LE","liv_wages_adj_lilo","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_wages_adj_lilo.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_wages_adj_lilo.csv",,,,,,,"Wages with adjustment","Wages with adjustment","6F","5.48","adj","value","2012a","parent",,"NA (updated data)","U",,,"cnky_liv_wages_adj_lilo",,,,,"(not ingested; see column X)",,,"liv_wages_adj_lilo.csv",,"country_id","whence","year","adj",
"LE pressures","le_sector_weight","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","le_sector_weight_disaggregateNature2012b.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","le_sector_weight_disaggregateNature2012b.csv",,,,,,,"Jobs weighting","Jobs weighting by sector (defaulting to 1)","6F",,"weight","value","2012a","parent","this layer is borrowed directly from nature2012 and simply disaggregated","NA","N",,,"rnk_le_sector_weight",,TRUE,"exclude",,"equal",,"NA","le_sector_weight.csv","region_id",,"sector",,"weight",
"LIV ECO","le_popn","neptune_data:model/GL-WorldBank-Statistics_v2012/data","rgn_wb_pop_2013a_updated.csv","neptune_data:model/GL-WorldBank-Statistics_v2012/data","rgn_wb_pop_2013a_updated.csv",,,,,,,"Total population by subregion","Population data from The World Bank",,"5.71","count","count",,,,,,,,"rny_le_popn",,TRUE,,,"equal",,"NA",,,,,,,
"LIV ECO","liveco_status","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","rgn_liv.eco_status_2012a.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","rgn_liv.eco_status_2013a.csv",,,,,,,"Modeled livelihoods and economies status","Modeled livelihoods and economies status based on new approach",,"5.41-5.46","value","status score",,,,,,,,"rn_liveco_status",,TRUE,,,"equal",,"NA",,,,,,,
"LIV ECO","liveco_trend","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","rgn_liv.eco_trend_2012a.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","rgn_liv.eco_trend_2013a.csv",,,,,,,"Modeled livelihoods and economies trend","Modeled livelihoods and economies trend based on new approach",,"5.41-5.46","value","trend score",,,,,,,,"rn_liveco_trend",,TRUE,,,"equal",,"NA",,,,,,,
"LSP","lsp_prot_area_inland1km","ohiprep:globalprep/WDPA_MPA/v2015/data","lsp_protarea_inland1km.csv","ohiprep:globalprep/WDPA_MPA/v2015/data","lsp_protarea_inland1km.csv","ohiprep:globalprep/WDPA_MPA/v2015/data","lsp_protarea_inland1km.csv","ohiprep:globalprep/WDPA_MPA/v2015/data","lsp_protarea_inland1km.csv","Y: done","Y: done","Coastal protected areas inland 1km","Coastal protected areas inland to 1km from the UN WDPA. 

Data sources:

- United Nations - World Conservation Monitoring Centreâs World Database on Protected Areas (WDPA) through [Protected Planet](http://www.protectedplanet.net)","6H","5.4","area_km2","km^2","2012a","new",,,"U",,,"rny_lsp_prot_area_inland1km",,TRUE,,,"raster | area_inland1km",,,"lsp_prot_area_inland1km.csv","region_id",,,"year","km2",
