"targets","layer","name","description","fld_value","units","path_in","path_in_exists","filename","path_out"
"LSP","lsp_mpa","Protected marine areas","Protected marine areas of CCAMLR regions (CCAMLR, 2014, Status of Antarctic specially protected area and Antarctic specially managed area management plans, http://www.ats.aq/documents/ATCM37/WW/atcm37_ww002_e.pdf)","area_km2","km^2","../ohiprep/Antarctica/AQ_LSP/v2015/data/lsp_prot_area_offshore.csv",TRUE,"lsp_mpa.csv","antarctica2015/layers/lsp_mpa.csv"
"pressures","cc_acid","Ocean acidification","Change in current year's modeled aragonite saturation state relative to historical mean (1880-1889) (Feely et al, 2009, doi:10.5670/oceanog.2009.95; J. Afflerbach et al., 2015, https://github.com/OHI-Science/ohiprep/tree/master/globalprep/Pressures_OceanAcidification/v2015) ","pressure_score","pressure score","../ohiprep/globalprep/PressuresRegionExtract/data/acid_eez-ccamlr_2014.csv",TRUE,"cc_acid.csv","antarctica2015/layers/cc_acid.csv"
"pressures","cc_sst","Sea surface temperature (SST) anomalies","Change in sea surface temperature anomolies compared to reference period (1985-1989) (NOAA, 2015; and methods: Selig et al., 2010 and Afflerbach, 2015, https://github.com/OHI-Science/ohiprep/tree/master/globalprep/Pressures_SST) ","pressure_score","pressure score","../ohiprep/globalprep/PressuresRegionExtract/data/sst_eez-ccamlr_2015.csv",TRUE,"cc_sst.csv","antarctica2015/layers/cc_sst.csv"
"pressures","fp_com_hb","High commercial fishing bycatch ","Modeled destructive commercial fishing practices by 5 different gear types (Halpern et al. 2008, doi:10.1126/science.1149345; Behrenfeld and Falkowksi, 1997)","pressure_score","pressure score","../ohiprep/globalprep/PressuresRegionExtract/data/catch_06_10_npp_hb_ccamlr.csv",TRUE,"fp_com_hb.csv","antarctica2015/layers/fp_com_hb.csv"
"pressures","fp_com_lb","Low commercial fishing bycatch ","Modeled least destructive commercial fishing practices by 2 different gear types (Halpern et al. 2008, doi:10.1126/science.1149345; Behrenfeld and Falkowksi, 1997)","pressure_score","pressure score","../ohiprep/globalprep/PressuresRegionExtract/data/catch_06_10_npp_lb_ccamlr.csv",TRUE,"fp_com_lb.csv","antarctica2015/layers/fp_com_lb.csv"
"pressures","hd_sea_ice","Sea ice loss of season pressure","Inverse of sea ice habitat status scaled so a 50% reduction in season length corresponds to a pressure of 1.  This dataset is generated in the HAB function of the toolbox.","pressure_score","pressure score","../ohiprep/Antarctica/AQ_SeaIce/v2015//data/hd_sea_ice.csv",TRUE,"hd_sea_ice.csv","antarctica2015/layers/hd_sea_ice.csv"
"pressures","sp_alien","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion (Molnar et al. 2008, https://doi.org/10.1890/070064)","pressure_score","pressure score","../ohiprep/Antarctica/AQ_Pressure_alien/data/sp_alien_2013_AQ.csv",TRUE,"sp_alien.csv","antarctica2015/layers/sp_alien.csv"
"pressures CW","po_chemicals","Chemical pollution","Modeled chemical pollution from commercial shipping traffic, ports and harbors, and land-based organic and inorganic inputs (data: Halpern et al. 2008, 2015).","pressure_score","pressure score","../ohiprep/Antarctica/AQ_CW_chem_pressure/data/po_chemicals_v2015.csv",TRUE,"po_chemicals.csv","antarctica2015/layers/po_chemicals.csv"
"pressures CW","po_pathogens","Potential pathogen pollution","Effectiveness of waste water treatment at field stations scaled by population size","pressure_score","pressure score","../ohiprep/Antarctica/AQ_CW_pressure_pathogen/data/po_pathogens.csv",TRUE,"po_pathogens.csv","antarctica2015/layers/po_pathogens.csv"
"pressures CW","po_trash","Trash pollution","Global marine plastics (data: Eriksen et al., 2014, doi:10.1371/journal.pone.0111913; methods: Afflerbach, 2015, https://github.com/OHI-Science/ohiprep/tree/master/globalprep/CW_pressure_trash) ","pressure_score","pressure score","../ohiprep/globalprep/PressuresRegionExtract/data/trash_ccamlr_2015.csv",TRUE,"po_trash.csv","antarctica2015/layers/po_trash.csv"
"pressures HAB","hab_presence","Habitat presence","Modeled combined habitat presence","weight","boolean","../ohiprep/Antarctica/Other/hab_presence.csv",TRUE,"hab_presence.csv","antarctica2015/layers/hab_presence.csv"
"pressures LE","le_sector_weight","Jobs weighting","Jobs weighting by sector (defaulting to 1)","weight","value","../ohiprep/Antarctica/Other/LIV_sector_weights.csv",TRUE,"le_sector_weight.csv","antarctica2015/layers/le_sector_weight.csv"
"regions","rgn_area","CCAMLR marine area, km2","CCAMLR marine area (CCAMLR Convention Area, 2015, https://www.ccamlr.org/en/organisation/convention-area)","area_km2","km^2","../ohiprep/Antarctica/Other/rgn_area_ccamlr_eez_lyr.csv",TRUE,"rgn_area.csv","antarctica2015/layers/rgn_area.csv"
"regions","rgn_area_inland","CCAMLR inland 1 km, km2","CCAMLR marine area (CCAMLR Convention Area, 2015, https://www.ccamlr.org/en/organisation/convention-area)","area_km2","km^2","../ohiprep/Antarctica/Other/rgn_area_ccamlr_inland_1km_lyr.csv",TRUE,"rgn_area_inland.csv","antarctica2015/layers/rgn_area_inland.csv"
"regions","rgn_global","CCAMLR regions","CCAMLR marine regions (CCAMLR Convention Area, 2015, https://www.ccamlr.org/en/organisation/convention-area) ","label","label","../ohiprep/Antarctica/Other/rgn_labels_ccamlr_lyr.csv",TRUE,"rgn_global.csv","antarctica2015/layers/rgn_global.csv"
"regions","rgn_labels","CCAMLR regions to OHI id","Translate between different label types","ccamlr_id","ccamlr_id","../ohiprep/Antarctica/Other/ccamlr2sp_id.csv",TRUE,"rgn_labels.csv","antarctica2015/layers/rgn_labels.csv"
"resilience","BWM_aliens","Effectiveness of Marpol regulations","IMO's International Convention for the Control and Management of Ships' Ballast Water and Sediments (BMW, 2015, http://www.imo.org/en/About/Conventions/ListOfConventions/Pages/International-Convention-for-the-Control-and-Management-of-Ships'-Ballast-Water-and-Sediments-(BWM).aspx).  Score based on 'expert judgement' based on (1) having the regulatory framework in place, and (2) enforcement and effectivenss. ","resilience score","resilience score","../ohiprep/Antarctica/AQ_Resilience/BWM_aliens_AQ.csv",TRUE,"BWM_aliens.csv","antarctica2015/layers/BWM_aliens.csv"
"resilience","Marpol_poll","Effectiveness of Marpol regulations","IMO's International Convention for the Prevention of Pollution from Ships (MARPOL, 2015, http://www.imo.org/en/About/Conventions/ListOfConventions/Pages/International-Convention-for-the-Prevention-of-Pollution-from-Ships-(MARPOL).aspx). Score based on 'expert judgement' based on (1) having the regulatory framework in place, and (2) enforcement and effectivenss. ","resilience score","resilience score","../ohiprep/Antarctica/AQ_Resilience/Marpol_poll_AQ.csv",TRUE,"Marpol_poll.csv","antarctica2015/layers/Marpol_poll.csv"
"resilience","MPAs","LSP status","See Lasting Special Places description.  Calculated in Lasting Special Places function of the toolbox (saved in temp folder).","resilience score","resilience score","../ohiprep/Antarctica/AQ_Resilience/MPAs_v2015.csv",TRUE,"MPAs.csv","antarctica2015/layers/MPAs.csv"
"resilience","rfmo","RFMO governance effectiveness","Governance effectiveness of CCAMLR Regional Fisheries Management Organization.","resilience score","resilience score","../ohiprep/Antarctica/AQ_Resilience/rfmo_AQ.csv",TRUE,"rfmo.csv","antarctica2015/layers/rfmo.csv"
"resilience","UNEP_gap_report","emissions progress","Effectiveness of global emissions cutting progress based on United Nations Environment Programme GAP Report (Ullstein, 2013)","resilience score","resilience score","../ohiprep/Antarctica/AQ_Resilience/UNEP_gap_report_AQ.csv",TRUE,"UNEP_gap_report.csv","antarctica2015/layers/UNEP_gap_report.csv"
"resilience","UNFCCC_Kyoto","Kyoto signatories","United Nations Framework Convention on Climate Change, Kyoto Protocol (UN FCCC, 2015, http://unfccc.int/kyoto_protocol/status_of_ratification/items/2613.php).  Global score based on proportion of global signatories. ","resilience score","resilience score","../ohiprep/Antarctica/AQ_Resilience/UNFCCC_Kyoto_AQ.csv",TRUE,"UNFCCC_Kyoto.csv","antarctica2015/layers/UNFCCC_Kyoto.csv"
"SPP","spp_status","Species status","Regional average of species IUCN threat status, using methods described in Halpern et al. 2015; status is from IUCN (IUCN, 2015, http://www.iucnredlist.org); and spatial information is from IUCN and Aquamaps range maps (IUCN, 2015, http://www.iucnredlist.org; Kaschner et al., 2015, www.aquamaps.org)","score","status score","../ohiprep/globalprep/spp_ico/v2015/data/spp_status_aq.csv",TRUE,"spp_status.csv","antarctica2015/layers/spp_status.csv"
"SPP","spp_trend","Species trend","Regional average of species IUCN trend, using methods described in Halpern et al. 2015; status is from IUCN (IUCN, 2015, http://www.iucnredlist.org); and spatial information is from IUCN and Aquamaps range maps (IUCN, 2015, http://www.iucnredlist.org; Kaschner et al., 2015, www.aquamaps.org)","score","trend score","../ohiprep/globalprep/spp_ico/v2015/data/spp_trend_aq.csv",TRUE,"spp_trend.csv","antarctica2015/layers/spp_trend.csv"
"TR","tr_days","Tourist days","Number of tourist days (IAATO, 2015, http://iaato.org/tourism-statistics)","days","days","../ohiprep/Antarctica/AQ_TR/data/tr_days.csv",TRUE,"tr_days.csv","antarctica2015/layers/tr_days.csv"
