component_id,radical_include,component_label,component_name,goal,dimension,scenario,region_id,value,units,url,source,extra
le_wage_sector_year,no,,Wages,LE,status,2015,,,2010 USD,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",gapfilled
le_workforcesize_adj,no,,Modeled Livelihoods & Economies data,LE,status,2015,,,number of jobs,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",adjusted workforce size
le_popn,no,,Total population by subregion,LIV,status,2015,,,number of people,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",Population data from The World Bank
liveco_status,no,,Modeled livelihoods and economies status,LIV,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",Modeled livelihoods and economies status based on new approach
liveco_trend,no,,Modeled livelihoods and economies trend,LIV,trend,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",Modeled livelihoods and economies trend based on new approach
lsp_prot_area_inland1km,yes,Costal Protected Areas,Coastal protected areas inland 1km,LSP,status,2015,,,km^2,,United Nations - World Conservation Monitoring Centre's World Database on Protected Areas (WDPA) through [Protected Planet](http://www.protectedplanet.net).,Coastal protected areas inland to 1km from the UN WDPA.
lsp_prot_area_offshore3nm,yes,Marine Protected Areas,Coastal marine protected areas offshore 3km,LSP,status,2015,,,km^2,,United Nations - World Conservation Monitoring Centre's World Database on Protected Areas (WDPA) through [Protected Planet](http://www.protectedplanet.net).,Coastal protected areas offshore to 3nm from the UN WDPA. 
mar_coastalpopn_inland25mi,no,,Coastal population inland 25 miles,MAR,status,2015,,,number of people,,"CIESIN & CIAT (Center for International Earth Science Information Network / Columbia University & Centro Internacional de Agricultura Tropical) (2005). Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates. Palisades, NY. NASA Socioeconomic Data and Applications Center (SEDAC) (http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates).","Coastal population, defined as the total population inland of 25 miles, extracted from Gridded Population of the World (GPW) Population Density Grid Future Estimates."
mar_harvest_species,no,,Mariculture species harvested,MAR,status,2015,,,species name,,FAO global aquaculture production (http://www.fao.org/fishery/statistics/global-aquaculture-production/en).,Lookup table for mariculture: species Latin names and species code.
mar_harvest_tonnes,no,,Mariculture harvest,MAR,status,2015,,,tons,,FAO global aquaculture production (http://www.fao.org/fishery/statistics/global-aquaculture-production/en).,Mariculture harvest from the FAO.
mar_sustainability_score,no,Mariculture Sustainability,Mariculture sustainability score,MAR,status,2015,,,,,"Trujillo P. (2008). Using a mariculture sustainability index to rank countries' performances. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countries' Exclusive Economic Zones, Alder J, Pauly D, editors. Fisheries Centre Research Report, vol. 16(7) p. 28-56.",Mariculture sustainability and mariculture regulations indicated by the Mariculture Sustainability Index (MSI). 
np_blast,yes,Areas of Blast Fishing,Areas of observed blast (dynamite) fishing,NP,status,2015,,,,,Reefs at Risk Revisited (http://www.wri.org/publication/reefs-at-risk-revisited).,Destructive artisanal blast fishing (Reefs at Risk Revisited).
np_cyanide,yes,Areas of Poison Fishing,Areas of observed poison fishing,NP,status,2015,,,,,Reefs at Risk Revisited (http://www.wri.org/publication/reefs-at-risk-revisited).,Destructive artisanal poison (cyanide) fishing (Reefs at Risk Revisited).
np_harvest_product_weight,yes,Peak Harvest Weight,"Product peak harvest divided by sum of all product peak harvest values, per region",NP,status,2015,,,,,FAO fisheries statistics (http://www.fao.org/fishery/statistics/global-commodities-production/en).,"Ratio of harvest of of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO."
np_harvest_tonnes,yes,Harvest Tonnes,"Harvest yield of marine natural products, smoothed",NP,status,2015,,,metric tonnes,,FAO fisheries statistics (http://www.fao.org/fishery/statistics/global-commodities-production/en).,"Yield in metric tonnes of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO."
np_harvest_tonnes_relative,yes,Harvest Ratio,Harvest ratio to peak yield of marine natural products,NP,status,2015,,,,,FAO fisheries statistics (http://www.fao.org/fishery/statistics/global-commodities-production/en).,"Ratio to max yield (tonnes) of product peak for six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO."
cc_acid,yes,Ocean Acidification,Ocean acidification,pressures,pressures,2015,,,,,"Feely, R., Doney, S. & Cooley, S. (2009) Ocean acidification: present conditions and future changes in a high-CO2 world.Oceanography 22:36-47. (doi:10.5670/oceanog.2009.95).J. Afflerbach et al. (2015). (https://github.com/OHI-Science/ohiprep/tree/master/globalprep/Pressures_OceanAcidification/v2015) ",Change in current year's modeled aragonite saturation state (Feely et al. 2010) relative to historical mean (1880-1889).
cc_slr,yes,Seal Level Rise,Sea level rise,pressures,pressures,2015,,,,,"Nicholls R. J. and Cazenave A. (2010). Sea-level rise and its impact on coastal zones. Science 328: 1517-1520  [doi:10.1126/science.1185782](http://dx.doi.org/10.1126/science.1185782). AVISO Satellite Altimetry Data (http://www.aviso.oceanobs.com/en/news/ocean-indicators/mean-sea-level/processing-corrections.html).J. Afflerbach et al. (2015). (https://github.com/OHI-Science/ohiprep/tree/master/globalprep/Pressures_SeaLevelRise/v2015) ",Modeled sea level rise (Nicholls and Cazenave 2010).
cc_sst,yes,Sea Surface Temperature,Sea surface temperature (SST) anomalies,pressures,pressures,2015,,,,,"AVHRR Pathfinder Version 5.0 SST data (http://pathfinder.nodc.noaa.gov)Casey, K. S., Brandon, T. B., Cornillon, P., and Evans, R. (2010). The past, present and future of the AVHRR Pathfinder SST Program, Oceanography from Space: Revisited, eds. V. Barale, J.F.R. Gower, and L. Alberotanza, Springer [doi:10.1007/978-90-481-8681-5_16](http://dx.doi.org/10.1007/978-90-481-8681-5_16).J. Afflerbach et al. (2015). (https://github.com/OHI-Science/ohiprep/tree/master/globalprep/Pressures_SST) ",Sea surface temperature based on temperature anomolies provided by GHRSST and the US National Oceanographic Data Center.
cc_uv,yes,UV Radiation,UV radiation,pressures,pressures,2015,,,,,"Goddard Earth Sciences Data and Information Services Center (GES DISC) (http://disc.sci.gsfc.nasa.gov/data-holdings/PIP/erythemal_uv_irradiance.shtml)J. Afflerbach et al. (2015). (https://github.com/OHI-Science/ohiprep/tree/master/globalprep/Pressures_UV) ",Modeled UV radiation based on Erythemal UV Irradiance data provided by GES DISC.
fp_art_hb,yes,Artisanal High Bycatch,High bycatch caused by artisanal fishing ,pressures,pressures,2015,,,,,Reefs at Risk Revisited (http://www.wri.org/publication/reefs-at-risk-revisited) ,The presence of destructive artisanal blast and poison (cyanide) fishing (Reefs at Risk Revisited).
fp_art_lb,yes,Artisanal Low Bycatch,Low bycatch caused by artisanal fishing ,pressures,pressures,2015,,,,,"Halpern, B. S., Walbridge S., Selkoe, K. A., Kappel, C. V., Micheli, F., D'Agrosa, C., Bruno, J. F., Casey, K. S., Ebert, C., Fox, H. E., Fujita, R., Heinemann, D., Lenihan, H. S., Madin, E. M. P., Perry, M. T., Selig, E. R., Spalding, M., Steneck, R., Watson, R. (2008) A global map of human impact on marine ecosystems. Science, 3199(5865): 948-952 [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345).FAO fisheries statistics (http://www.fao.org/fishery/statistics/global-capture-production/en)",Modeled low bycatch artisanal fishing using non-destructive practices (Halpern et al. 2008) based on FAO fisheries statistics.
fp_com_hb,yes,Commercial High Bycatch,High bycatch caused by commercial fishing ,pressures,pressures,2015,,,,,"Halpern, B. S., Walbridge S., Selkoe, K. A., Kappel, C. V., Micheli, F., D'Agrosa, C., Bruno, J. F., Casey, K. S., Ebert, C., Fox, H. E., Fujita, R., Heinemann, D., Lenihan, H. S., Madin, E. M. P., Perry, M. T., Selig, E. R., Spalding, M., Steneck, R., Watson, R. (2008) A global map of human impact on marine ecosystems. Science, 3199(5865): 948-952 [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345).",Modeled destructive commercial fishing practices by 5 different gear types (Halpern et al. 2008).
fp_com_lb,yes,Commercial Low Bycatch,Low bycatch caused by commercial fishing ,pressures,pressures,2015,,,,,"Halpern, B. S., Walbridge S., Selkoe, K. A., Kappel, C. V., Micheli, F., D'Agrosa, C., Bruno, J. F., Casey, K. S., Ebert, C., Fox, H. E., Fujita, R., Heinemann, D., Lenihan, H. S., Madin, E. M. P., Perry, M. T., Selig, E. R., Spalding, M., Steneck, R., Watson, R. (2008) A global map of human impact on marine ecosystems. Science, 3199(5865): 948-952 [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345).",Modeled least destructive commercial fishing practices by 2 different gear types (Halpern et al. 2008).
fp_targetharvest,yes,Targeted Harvest,Targeted harvest of cetaceans and sea turtles,pressures,pressures,2015,,,,,FAO fisheries statistics (http://www.fao.org/fishery/statistics/global-capture-production/en),"Targeted harvest of cetaceans and marine turtles, from FAO fisheries data."
hd_intertidal,yes,Intertidal Destruction,Coastal population density as a proxy for intertidal habitat destruction,pressures,pressures,2015,,,,,"CIESIN & CIAT (Center for International Earth Science Information Network /Columbia University & Centro Internacional de Agricultura Tropical) (2005). Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates. Palisades, NY. NASA Socioeconomic Data and Applications Center (SEDAC) (http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates).Halpern, B. S., Walbridge S., Selkoe, K. A., Kappel, C. V., Micheli, F., D'Agrosa, C., Bruno, J. F., Casey, K. S., Ebert, C., Fox, H. E., Fujita, R., Heinemann, D., Lenihan, H. S., Madin, E. M. P., Perry, M. T., Selig, E. R., Spalding, M., Steneck, R., Watson, R. (2008) A global map of human impact on marine ecosystems. Science, 3199(5865): 948-952 [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345).","Coastal population, defined as the total population inland of 10 miles, extracted from Gridded Population of the World (GPW) Population Density Grid Future Estimates."
hd_subtidal_hb,yes,Hard Bottom Destruction,High bycatch artisanal fishing practices as a proxy for subtidal hard bottom habitat destruction,pressures,pressures,2015,,,,,Reefs at Risk Revisited (http://www.wri.org/publication/reefs-at-risk-revisited) ,The presence of destructive artisanal blast fishing (Reefs at Risk Revisited).
hd_subtidal_sb,yes,Soft Bottom Destruction,Demersal destructive commercial fishing practices relative to soft-bottom habitat area as a proxy for soft bottom habitat destruction,pressures,pressures,2015,,,,,"Sea Around Us Project, SAUP (http://www.seaaroundus.org/)","Spatially distributed commercial catch data by fishing gear type, developed by Sea Around Us Project and habitat data."
le_sector_weight,no,Jobs Weighting,Jobs weighting,pressures,pressures,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",Jobs weighting by sector (defaulting to 1)
po_chemicals,yes,Chemical Pollution,Chemical pollution,pressures,pressures,2015,,,,,"FAO's statistical database FAOSTAT (http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E).Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. NatureCommunications 6(7615). [doi: 10.1038/ncomms8615](http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html)","Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use (Halpern et al. 2015)."
po_chemicals_3nm,yes,Chemical Pollution,Coastal chemical pollution within 3 nm offshore,pressures,pressures,2015,,,,,"FAO's statistical database FAOSTAT (http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E).Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [doi: 10.1038/ncomms8615](http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html)","Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use (Halpern et al. 2015), primarily land-based chemical pollution due to 3nm offshore buffer."
po_nutrients,yes,Nutrient Pollution,Fertilizer pollution as a proxy for nutrient pollution,pressures,pressures,2015,,,,,"FAO's statistical database FAOSTAT (http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E).Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. NatureCommunications 6(7615). [doi: 10.1038/ncomms8615](http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html)","Modeled data based on fertilizer consumption from the Food and Agricultural Organization (FAO, Halpern et al. 2015). "
po_nutrients_3nm,yes,Nutrient Pollution,Coastal fertilizer pollution as a proxy for nutrient pollution within 3nm offshore,pressures,pressures,2015,,,,,"FAO's statistical database FAOSTAT (http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E).Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. NatureCommunications 6(7615). [doi: 10.1038/ncomms8615](http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html)","Modeled data based on fertilizer consumption from the Food and Agricultural Organization (FAO, Halpern et al. 2015). "
po_pathogens,yes,Pathogen Pollution,Access to improved sanitation as a proxy for pathogen pollution,pressures,pressures,2015,,,,,"World Health Organization and United Nations Children's Fund's Joint Monitoring Programme, WHO/UNICEF's JMP (http://www.wssinfo.org/data-estimates/table)",Population without access to improved sanitation facilities.
po_trash,yes,Trash Pollution,Trash pollution,pressures,pressures,2015,,,,,"Eriksen M., Lebreton, L. C. M., Carson, H. S., Thiel, M., Moore, C. J. and Borerro, J. C.  (2014).  Plastic pollution in the world's oceans: more than 5 trillion plastic pieces weighing over 250,000 tons afloat at sea. PLoS ONE 9:e111913. [doi:10.1371/journal.pone.0111913]. J. Afflerbach et al. (2015). [Methods](https://github.com/OHI Science/ohiprep/tree/master/globalprep/CW_pressure_trash) ",Global marine plastics (Eriksen et al. 2014).
sp_alien,yes,Alien Species,Alien species,pressures,pressures,2015,,,,,"Molnar, J. L., Gamboa, R. L., Revenga C., Spalding, M. (2008). Assessing the global threat of invasive species to marine biodiversity. Frontiers in Ecology and the Environment 6(485). [doi:10.1890/070064](http://dx.doi.org/10.1890/070064)",The number and type of invasive and harmful invasive species in each marine ecoregion (Molnar et al. 2008). 
sp_genetic,yes,Genetic Escapes,Introduced species as a proxy for genetic escapes ,pressures,pressures,2015,,,,,"Trujillo P. (2008). Using a mariculture sustainability index to rank countries' performances. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countries' Exclusive Economic Zones, Alder J, Pauly D, editors. Fisheries Centre Research Report, vol. 16(7) p. 28-56.",Statistics on native or introduced species from the Mariculture Sustainibility Index (MSI). 
ss_wgi,yes,Weakness of Governance,Weakness of governance indicated with the WGI,pressures,pressures,2015,,,,,"Worldwide Governance Indicators, WGI (http://info.worldbank.org/governance/wgi/index.asp)",Inverse of World Governance Indicators (WGI) six combined scores.
alien_species,yes,Alien Species,Alien species,resilience,resilience,2015,,,,/Components/Alien_Species,"Molnar, J. L., Gamboa, R. L., Revenga C., Spalding, M. (2008). Assessing the global threat of invasive species to marine biodiversity. Frontiers in Ecology and the Environment 6(485). [doi:10.1890/070064](http://dx.doi.org/10.1890/070064)",The number and type of invasive and harmful invasive species in each marine ecoregion (Molnar et al. 2008). 
cites,yes,CITES,Resilience from commitment to CITES,resilience,resilience,2015,,,,,CITES List of Contracting Parties (http://www.cites.org/eng/disc/parties/chronolo.php),Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories.
fishing_v1,yes,Coastal Fishing v1,CBD survey: coastal fishing v1,resilience,resilience,2015,,,,,"Convention on Biological Diversity, CBD (http://www.cbd.int/reports/search/default.shtml)",Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005)
fishing_v1_eez,yes,Ocean Fishing v1,CBD survey: ocean fishing v1,resilience,resilience,2015,,,,,"Convention on Biological Diversity, CBD (http://www.cbd.int/reports/search/default.shtml)",Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005)
fishing_v2_eez,yes,Ocean Fishing v2,CBD survey: ocean fishing v2,resilience,resilience,2015,,,,,"Convention on Biological Diversity, CBD (http://www.cbd.int/reports/search/default.shtml)",Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005)
fishing_v3,yes,Coastal Fishing v3,CBD survey: coastal fishing v3,resilience,resilience,2015,,,,,"Convention on Biological Diversity, CBD (http://www.cbd.int/reports/search/default.shtml)",Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005)
fishing_v3_eez,yes,Ocean Fishing v3,CBD survey: ocean fishing v3,resilience,resilience,2015,,,,,"Convention on Biological Diversity, CBD (http://www.cbd.int/reports/search/default.shtml)",Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005)
habitat,yes,CBD Habitat,CBD survey: habitat,resilience,resilience,2015,,,,,"Convention on Biological Diversity, CBD (http://www.cbd.int/reports/search/default.shtml)",Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005)
habitat_combo,yes,CBD Coastal Habitat,CBD survey: coastal habitat,resilience,resilience,2015,,,,,"Convention on Biological Diversity, CBD (http://www.cbd.int/reports/search/default.shtml)",Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005)
habitat_combo_eez,yes,CBD Ocean Habitat,CBD survey: ocean habitat,resilience,resilience,2015,,,,,"Convention on Biological Diversity, CBD (http://www.cbd.int/reports/search/default.shtml)",Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005)
li_gci,yes,GCI Competitiveness,GCI: competitiveness in achieving sustained economic prosperity,resilience,resilience,2015,,,,,World Economic Forum (http://www.weforum.org/issues/global-competitiveness),Global Competitiveness Index (GCI) scores from the World Economic Forum.
li_sector_evenness,yes,Sector Evenness,Sector evenness as a measure of economic diversity,resilience,resilience,2015,,,,,Calculated,Shannon's Diversity Index calculated sector evenness based on the total number of sectors and the proportion of jobs belonging to any sector.
mariculture,yes,CBD Survey: Mariculture,CBD survey: mariculture,resilience,resilience,2015,,,,,"Convention on Biological Diversity, CBD (http://www.cbd.int/reports/search/default.shtml)",Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005)
msi_gov,yes,MSI Sustainability, MSI sustainability and regulations,resilience,resilience,2015,,,,,"Trujillo P. (2008). Using a mariculture sustainability index to rank countries' performances. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countries' Exclusive Economic Zones, Alder J, Pauly D, editors. Fisheries Centre Research Report, vol. 16(7) p. 28-56.",Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI). 
species_diversity,yes,Ocean Ecological Integrity,Ocean ecological integrity,resilience,resilience,2015,,,,,International Union for Conservation of Nature (IUCN) (http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme).,Marine species diversity as a proxy for ecological integrity: ocean (IUCN).
species_diversity_3nm,yes,Coastal Ecological Integrity,Coastal ecological integrity,resilience,resilience,2015,,,,,International Union for Conservation of Nature (IUCN) (http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme).,Marine species diversity as a proxy for ecological integrity: coastal (IUCN).
tourism,yes,CBD Survey: Tourism,CBD survey: tourism,resilience,resilience,2015,,,,,"Convention on Biological Diversity, CBD (http://www.cbd.int/reports/search/default.shtml)",Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005)
water,yes,CBD Survey: Water,CBD survey: water,resilience,resilience,2015,,,,,"Convention on Biological Diversity, CBD (http://www.cbd.int/reports/search/default.shtml)",Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005)
wgi_all,yes,Strength of Governance,Strength of governance indicated with the WGI,resilience,resilience,2015,,,,,"Worldwide Governance Indicators, WGI (http://info.worldbank.org/governance/wgi/index.asp)",World Governance Indicators (WGI) six combined scores.
spp_status,no,Species Lists and IUCN Threat Categories (Status),Species lists and IUCN threat categories as a proxy for iconic species status,SPP,status,2015,,,,,"International Union for Conservation of Nature, IUCN (http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)",International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists.
spp_trend,no,Species Lists and IUCN Threat Categories (Trend),Species lists and IUCN threat categories as a proxy for iconic species trend,SPP,trend,2015,,,,,"International Union for Conservation of Nature, IUCN (http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)",International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists.
tr_jobs_pct_tourism,yes,Employment:Tourism (%),Percent direct employment in tourism,TR,status,2015,,,percent,,"World Travel and Tourism Council, WTTC (http://www.wttc.org/research/economic-data-search-tool/)",Percent direct employment in tourism (WTTC).
tr_jobs_total,yes,Total Labor Force,Total labor force,TR,status,2015,,,number of people,,The World Bank (http://data.worldbank.org/indicator/SL.TLF.TOTL.IN),Total labor force (number of people 15 years old and older who can supply labor for the production of goods and services) from World Bank assessments.
tr_jobs_tourism,yes,Employment: Tourism,Direct employment in tourism,TR,status,2015,,,number of jobs,,"World Travel and Tourism Council, WTTC (http://www.wttc.org/research/economic-data-search-tool/)",Direct employment in tourism (WTTC).
tr_sustainability,yes,Sustainability Index,Sustainability index,TR,status,2015,,,,,World Economic Forum (http://reports.weforum.org/travel-and-tourism-competitiveness-report-2015/index-results-the-travel-tourism-competitiveness-index-ranking-2015/),Tourism Competitiveness Index (TTCI) from the World Economic Forum.
tr_travelwarnings,no,Travel Warnings,Travel warnings,TR,status,2015,,,,,U.S. Department of State (http://travel.state.gov/content/passports/english/alertswarnings.html),Countries with US State Department travel warnings.
tr_unemployment,yes,Percent Unemployment,Percent unemployment,TR,status,2015,,,percent ,,The World Bank (http://data.worldbank.org/indicator/SL.UEM.TOTL.ZS),Percent unemployment (The World Bank).
